vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
cu2211.SHFE,SHFE.cu2211,2022-09-24 00:59:00,96903,60550.0,60590.0,60540.0,60550.0,125.0,127896.0,127907.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:00:00,96904,60450.0,60500.0,60360.0,60450.0,2248.0,127907.0,128275.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:01:00,96905,60450.0,60500.0,60420.0,60440.0,856.0,128275.0,128345.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:02:00,96906,60440.0,60490.0,60440.0,60480.0,737.0,128345.0,128448.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:03:00,96907,60480.0,60540.0,60480.0,60530.0,616.0,128448.0,128515.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:04:00,96908,60530.0,60580.0,60520.0,60570.0,706.0,128515.0,128592.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:05:00,96909,60570.0,60580.0,60510.0,60560.0,557.0,128592.0,128633.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:06:00,96910,60560.0,60620.0,60550.0,60600.0,605.0,128633.0,128644.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:07:00,96911,60600.0,60660.0,60590.0,60640.0,599.0,128644.0,128642.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:08:00,96912,60640.0,60670.0,60620.0,60670.0,553.0,128642.0,128714.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:09:00,96913,60670.0,60670.0,60610.0,60610.0,288.0,128714.0,128744.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:10:00,96914,60610.0,60630.0,60590.0,60620.0,440.0,128744.0,128809.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:11:00,96915,60620.0,60650.0,60610.0,60630.0,249.0,128809.0,128859.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:12:00,96916,60630.0,60670.0,60610.0,60640.0,267.0,128859.0,128936.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:13:00,96917,60640.0,60640.0,60590.0,60610.0,286.0,128936.0,129036.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:14:00,96918,60610.0,60630.0,60610.0,60610.0,111.0,129036.0,129047.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:15:00,96919,60610.0,60660.0,60580.0,60580.0,413.0,129047.0,129103.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:16:00,96920,60580.0,60600.0,60510.0,60530.0,691.0,129103.0,128892.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:17:00,96921,60530.0,60530.0,60490.0,60530.0,969.0,128892.0,129092.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:18:00,96922,60530.0,60570.0,60510.0,60550.0,561.0,129092.0,129288.0
cu2211.SHFE,SHFE.cu2211,2022-09-26 09:19:00,96923,60550.0,60560.0,60500.0,60510.0,272.0,129288.0,129372.0
