vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
SA301.CZCE,CZCE.SA301,2022-07-29 22:59:00,43799,2413.0,2416.0,2411.0,2412.0,2848.0,220400.0,218972.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:00:00,43800,2409.0,2412.0,2404.0,2408.0,7969.0,218972.0,220073.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:01:00,43801,2408.0,2412.0,2403.0,2411.0,4276.0,220073.0,220577.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:02:00,43802,2411.0,2422.0,2407.0,2420.0,6086.0,220577.0,221444.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:03:00,43803,2420.0,2427.0,2420.0,2423.0,4290.0,221444.0,222091.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:04:00,43804,2423.0,2424.0,2418.0,2419.0,3606.0,222091.0,222032.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:05:00,43805,2419.0,2419.0,2406.0,2409.0,4977.0,222032.0,222251.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:06:00,43806,2409.0,2414.0,2407.0,2411.0,3309.0,222251.0,222308.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:07:00,43807,2411.0,2415.0,2406.0,2407.0,1973.0,222308.0,222363.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:08:00,43808,2407.0,2412.0,2407.0,2411.0,2216.0,222363.0,222423.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:09:00,43809,2411.0,2411.0,2406.0,2407.0,2499.0,222423.0,222403.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:10:00,43810,2407.0,2407.0,2392.0,2395.0,8548.0,222403.0,222062.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:11:00,43811,2395.0,2395.0,2368.0,2379.0,12646.0,222062.0,219907.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:12:00,43812,2379.0,2383.0,2375.0,2382.0,6906.0,219907.0,220137.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:13:00,43813,2382.0,2383.0,2370.0,2370.0,5964.0,220137.0,220355.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:14:00,43814,2370.0,2376.0,2368.0,2370.0,5475.0,220355.0,220572.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:15:00,43815,2370.0,2376.0,2367.0,2371.0,4827.0,220572.0,220743.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:16:00,43816,2371.0,2373.0,2368.0,2369.0,4593.0,220743.0,220944.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:17:00,43817,2369.0,2370.0,2362.0,2363.0,4880.0,220944.0,220976.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:18:00,43818,2363.0,2368.0,2363.0,2365.0,3901.0,220976.0,221533.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:19:00,43819,2365.0,2369.0,2364.0,2365.0,2988.0,221533.0,221374.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:20:00,43820,2365.0,2377.0,2363.0,2375.0,5555.0,221374.0,221633.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:21:00,43821,2375.0,2376.0,2371.0,2374.0,2978.0,221633.0,221932.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:22:00,43822,2374.0,2381.0,2372.0,2376.0,5446.0,221932.0,221787.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:23:00,43823,2376.0,2376.0,2372.0,2374.0,1742.0,221787.0,221947.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:24:00,43824,2374.0,2376.0,2372.0,2375.0,1533.0,221947.0,221916.0
SA301.CZCE,CZCE.SA301,2022-08-01 09:25:00,43825,2375.0,2380.0,2374.0,2378.0,2525.0,221916.0,221851.0
