vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
au2404.SHFE,SHFE.au2404,2023-12-29 14:59:00,106904,482.12,482.28,482.1,482.16,303.0,143443.0,143460.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:00:00,106905,482.06,482.06,481.38,481.46,1295.0,143460.0,143484.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:01:00,106906,481.46,481.82,481.46,481.78,508.0,143484.0,143470.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:02:00,106907,481.78,481.96,481.78,481.94,261.0,143470.0,143459.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:03:00,106908,481.94,482.1,481.94,482.02,278.0,143459.0,143502.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:04:00,106909,482.02,482.24,482.02,482.18,221.0,143502.0,143540.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:05:00,106910,482.18,482.54,482.14,482.46,577.0,143540.0,143549.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:06:00,106911,482.46,482.68,482.44,482.64,447.0,143549.0,143606.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:07:00,106912,482.64,482.7,482.56,482.56,275.0,143606.0,143635.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:08:00,106913,482.56,482.64,482.4,482.44,230.0,143635.0,143616.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:09:00,106914,482.44,482.62,482.44,482.52,326.0,143616.0,143613.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:10:00,106915,482.52,482.6,482.48,482.54,229.0,143613.0,143596.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:11:00,106916,482.54,482.62,482.5,482.56,264.0,143596.0,143673.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:12:00,106917,482.56,482.68,482.54,482.68,214.0,143673.0,143654.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:13:00,106918,482.68,482.94,482.68,482.86,473.0,143654.0,143711.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:14:00,106919,482.86,482.88,482.8,482.84,227.0,143711.0,143778.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:15:00,106920,482.84,482.86,482.6,482.6,340.0,143778.0,143874.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:16:00,106921,482.6,482.64,482.48,482.56,201.0,143874.0,143904.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:17:00,106922,482.56,482.58,482.48,482.48,116.0,143904.0,143922.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:18:00,106923,482.48,482.7,482.48,482.62,83.0,143922.0,143929.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:19:00,106924,482.62,482.66,482.54,482.54,71.0,143929.0,143954.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:20:00,106925,482.54,482.62,482.46,482.48,102.0,143954.0,143963.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:21:00,106926,482.48,482.58,482.48,482.56,98.0,143963.0,143988.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:22:00,106927,482.56,482.6,482.46,482.5,114.0,143988.0,144055.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:23:00,106928,482.5,482.54,482.48,482.52,94.0,144055.0,144072.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:24:00,106929,482.52,482.56,482.44,482.44,244.0,144072.0,144137.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:25:00,106930,482.44,482.48,482.34,482.4,210.0,144137.0,144137.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:26:00,106931,482.4,482.48,482.4,482.44,106.0,144137.0,144154.0
au2404.SHFE,SHFE.au2404,2024-01-02 09:27:00,106932,482.44,482.48,482.4,482.44,67.0,144154.0,144173.0
