vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
hc2005.SHFE,SHFE.hc2005,2019-12-30 14:59:00,53369,3563.0,3567.0,3562.0,3566.0,653.0,284493.0,284380.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:00:00,53370,3559.0,3567.0,3559.0,3565.0,3454.0,284380.0,284611.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:01:00,53371,3565.0,3569.0,3562.0,3564.0,1290.0,284611.0,284366.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:02:00,53372,3564.0,3566.0,3560.0,3560.0,1101.0,284366.0,284259.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:03:00,53373,3560.0,3562.0,3559.0,3560.0,708.0,284259.0,284271.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:04:00,53374,3560.0,3560.0,3558.0,3559.0,408.0,284271.0,284314.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:05:00,53375,3559.0,3561.0,3559.0,3560.0,516.0,284314.0,284504.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:06:00,53376,3560.0,3561.0,3558.0,3558.0,634.0,284504.0,284600.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:07:00,53377,3558.0,3558.0,3555.0,3557.0,827.0,284600.0,284721.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:08:00,53378,3557.0,3558.0,3556.0,3556.0,383.0,284721.0,284768.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:09:00,53379,3556.0,3557.0,3555.0,3555.0,349.0,284768.0,284706.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:10:00,53380,3555.0,3558.0,3555.0,3558.0,328.0,284706.0,284655.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:11:00,53381,3558.0,3558.0,3557.0,3558.0,133.0,284655.0,284705.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:12:00,53382,3558.0,3558.0,3556.0,3557.0,276.0,284705.0,284681.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:13:00,53383,3557.0,3557.0,3556.0,3557.0,389.0,284681.0,284593.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:14:00,53384,3557.0,3558.0,3556.0,3557.0,459.0,284593.0,284622.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:15:00,53385,3557.0,3557.0,3551.0,3554.0,1989.0,284622.0,284591.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:16:00,53386,3554.0,3555.0,3552.0,3554.0,640.0,284591.0,284531.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:17:00,53387,3554.0,3555.0,3553.0,3553.0,408.0,284531.0,284501.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:18:00,53388,3553.0,3556.0,3553.0,3555.0,628.0,284501.0,284340.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:19:00,53389,3555.0,3557.0,3555.0,3556.0,498.0,284340.0,284469.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:20:00,53390,3556.0,3558.0,3555.0,3557.0,819.0,284469.0,284596.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:21:00,53391,3557.0,3558.0,3556.0,3556.0,132.0,284596.0,284625.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:22:00,53392,3556.0,3557.0,3556.0,3557.0,82.0,284625.0,284595.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:23:00,53393,3557.0,3558.0,3556.0,3557.0,179.0,284595.0,284608.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:24:00,53394,3557.0,3558.0,3556.0,3558.0,273.0,284608.0,284681.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:25:00,53395,3558.0,3560.0,3558.0,3559.0,355.0,284681.0,284791.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:26:00,53396,3559.0,3561.0,3559.0,3561.0,575.0,284791.0,284758.0
hc2005.SHFE,SHFE.hc2005,2019-12-30 21:27:00,53397,3561.0,3563.0,3560.0,3563.0,500.0,284758.0,284723.0
