vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
OI305.CZCE,CZCE.OI305,2023-03-06 14:59:00,66617,9834.0,9835.0,9826.0,9832.0,3367.0,254276.0,254116.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:00:00,66618,9820.0,9830.0,9805.0,9825.0,8866.0,254116.0,255182.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:01:00,66619,9825.0,9829.0,9821.0,9826.0,4083.0,255182.0,254413.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:02:00,66620,9826.0,9826.0,9818.0,9818.0,2391.0,254413.0,254898.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:03:00,66621,9818.0,9820.0,9813.0,9815.0,2669.0,254898.0,255307.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:04:00,66622,9815.0,9818.0,9814.0,9816.0,1721.0,255307.0,255447.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:05:00,66623,9816.0,9817.0,9806.0,9807.0,3233.0,255447.0,255938.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:06:00,66624,9807.0,9813.0,9805.0,9805.0,2939.0,255938.0,256384.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:07:00,66625,9805.0,9809.0,9805.0,9806.0,2054.0,256384.0,256701.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:08:00,66626,9806.0,9811.0,9806.0,9808.0,2421.0,256701.0,256880.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:09:00,66627,9808.0,9815.0,9807.0,9813.0,2779.0,256880.0,257238.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:10:00,66628,9813.0,9817.0,9811.0,9813.0,1915.0,257238.0,257237.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:11:00,66629,9813.0,9813.0,9806.0,9807.0,2001.0,257237.0,257206.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:12:00,66630,9807.0,9818.0,9803.0,9815.0,2853.0,257206.0,257291.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:13:00,66631,9815.0,9818.0,9813.0,9815.0,1557.0,257291.0,257432.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:14:00,66632,9815.0,9815.0,9811.0,9814.0,689.0,257432.0,257537.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:15:00,66633,9814.0,9818.0,9812.0,9815.0,1179.0,257537.0,257620.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:16:00,66634,9815.0,9815.0,9808.0,9810.0,1190.0,257620.0,257794.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:17:00,66635,9810.0,9810.0,9803.0,9809.0,2165.0,257794.0,258237.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:18:00,66636,9809.0,9813.0,9808.0,9810.0,993.0,258237.0,258327.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:19:00,66637,9810.0,9811.0,9808.0,9810.0,703.0,258327.0,258426.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:20:00,66638,9810.0,9815.0,9809.0,9814.0,943.0,258426.0,258551.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:21:00,66639,9814.0,9817.0,9812.0,9816.0,1042.0,258551.0,258492.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:22:00,66640,9816.0,9821.0,9814.0,9820.0,1984.0,258492.0,258245.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:23:00,66641,9820.0,9820.0,9816.0,9820.0,1370.0,258245.0,258207.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:24:00,66642,9820.0,9820.0,9815.0,9817.0,800.0,258207.0,258365.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:25:00,66643,9817.0,9817.0,9814.0,9814.0,944.0,258365.0,258466.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:26:00,66644,9814.0,9816.0,9810.0,9811.0,971.0,258466.0,258592.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:27:00,66645,9811.0,9816.0,9810.0,9814.0,736.0,258592.0,258650.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:28:00,66646,9814.0,9814.0,9811.0,9814.0,530.0,258650.0,258718.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:29:00,66647,9814.0,9815.0,9812.0,9813.0,617.0,258718.0,258844.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:30:00,66648,9813.0,9813.0,9808.0,9812.0,1243.0,258844.0,258958.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:31:00,66649,9812.0,9817.0,9811.0,9816.0,1007.0,258958.0,258987.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:32:00,66650,9816.0,9816.0,9812.0,9813.0,423.0,258987.0,259053.0
OI305.CZCE,CZCE.OI305,2023-03-06 21:33:00,66651,9813.0,9816.0,9813.0,9816.0,471.0,259053.0,259115.0
