vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
au2206.SHFE,SHFE.au2206,2022-01-18 14:59:00,91343,373.52,373.58,373.38,373.46,204.0,107087.0,107021.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:00:00,91344,373.5,373.62,373.2,373.24,1207.0,107021.0,106992.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:01:00,91345,373.24,373.3,373.16,373.28,353.0,106992.0,107022.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:02:00,91346,373.28,373.34,373.22,373.3,222.0,107022.0,107016.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:03:00,91347,373.3,373.34,373.18,373.22,261.0,107016.0,107039.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:04:00,91348,373.22,373.3,373.1,373.12,453.0,107039.0,107172.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:05:00,91349,373.12,373.16,373.06,373.1,222.0,107172.0,107235.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:06:00,91350,373.1,373.1,372.96,373.0,358.0,107235.0,107314.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:07:00,91351,373.0,373.0,372.92,372.98,221.0,107314.0,107400.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:08:00,91352,372.98,373.02,372.92,373.0,256.0,107400.0,107451.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:09:00,91353,373.0,373.02,372.88,372.9,330.0,107451.0,107510.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:10:00,91354,372.9,373.02,372.84,372.84,254.0,107510.0,107588.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:11:00,91355,372.84,372.9,372.6,372.64,451.0,107588.0,107662.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:12:00,91356,372.64,372.7,372.22,372.38,1119.0,107662.0,108024.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:13:00,91357,372.38,372.4,372.14,372.22,559.0,108024.0,108104.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:14:00,91358,372.22,372.3,372.14,372.2,518.0,108104.0,108191.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:15:00,91359,372.2,372.2,371.82,371.86,1589.0,108191.0,108553.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:16:00,91360,371.86,372.06,371.8,372.04,711.0,108553.0,108623.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:17:00,91361,372.04,372.24,372.0,372.24,657.0,108623.0,108747.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:18:00,91362,372.24,372.28,372.08,372.1,541.0,108747.0,108724.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:19:00,91363,372.1,372.12,371.96,371.98,498.0,108724.0,108754.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:20:00,91364,371.98,372.14,371.88,371.88,595.0,108754.0,108848.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:21:00,91365,371.88,372.08,371.86,372.08,601.0,108848.0,109039.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:22:00,91366,372.08,372.12,371.94,371.96,414.0,109039.0,109052.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:23:00,91367,371.96,372.1,371.96,372.06,407.0,109052.0,109064.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:24:00,91368,372.06,372.06,371.8,371.92,876.0,109064.0,109261.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:25:00,91369,371.92,371.98,371.8,371.86,296.0,109261.0,109316.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:26:00,91370,371.86,372.0,371.84,371.96,368.0,109316.0,109321.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:27:00,91371,371.96,371.96,371.86,371.88,328.0,109321.0,109381.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:28:00,91372,371.88,371.96,371.86,371.96,215.0,109381.0,109419.0
au2206.SHFE,SHFE.au2206,2022-01-18 21:29:00,91373,371.96,371.98,371.86,371.94,469.0,109419.0,109435.0
