vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
cu2012.SHFE,SHFE.cu2012,2020-11-13 14:59:00,86114,52160.0,52200.0,52150.0,52180.0,851.0,105744.0,105742.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:00:00,86115,52110.0,52240.0,52110.0,52160.0,1755.0,105742.0,105765.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:01:00,86116,52160.0,52240.0,52160.0,52220.0,584.0,105765.0,105794.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:02:00,86117,52220.0,52230.0,52200.0,52210.0,450.0,105794.0,105823.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:03:00,86118,52210.0,52270.0,52210.0,52250.0,489.0,105823.0,105859.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:04:00,86119,52250.0,52270.0,52230.0,52250.0,378.0,105859.0,105873.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:05:00,86120,52250.0,52300.0,52250.0,52290.0,354.0,105873.0,105958.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:06:00,86121,52290.0,52320.0,52280.0,52310.0,345.0,105958.0,106029.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:07:00,86122,52310.0,52370.0,52310.0,52360.0,519.0,106029.0,106180.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:08:00,86123,52360.0,52370.0,52300.0,52310.0,498.0,106180.0,106270.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:09:00,86124,52310.0,52340.0,52310.0,52320.0,320.0,106270.0,106248.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:10:00,86125,52320.0,52360.0,52320.0,52330.0,378.0,106248.0,106294.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:11:00,86126,52330.0,52370.0,52330.0,52360.0,738.0,106294.0,106145.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:12:00,86127,52360.0,52370.0,52350.0,52360.0,223.0,106145.0,106237.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:13:00,86128,52360.0,52380.0,52360.0,52370.0,476.0,106237.0,106329.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:14:00,86129,52370.0,52380.0,52340.0,52360.0,430.0,106329.0,106360.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:15:00,86130,52360.0,52380.0,52350.0,52360.0,418.0,106360.0,106338.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:16:00,86131,52360.0,52400.0,52360.0,52390.0,711.0,106338.0,106380.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:17:00,86132,52390.0,52430.0,52390.0,52410.0,741.0,106380.0,106594.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:18:00,86133,52410.0,52420.0,52400.0,52420.0,224.0,106594.0,106668.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:19:00,86134,52420.0,52440.0,52410.0,52420.0,431.0,106668.0,106782.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:20:00,86135,52420.0,52470.0,52420.0,52470.0,900.0,106782.0,106802.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:21:00,86136,52470.0,52470.0,52420.0,52420.0,446.0,106802.0,106863.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:22:00,86137,52420.0,52420.0,52390.0,52400.0,387.0,106863.0,106877.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:23:00,86138,52400.0,52430.0,52400.0,52420.0,182.0,106877.0,106875.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:24:00,86139,52420.0,52420.0,52390.0,52400.0,239.0,106875.0,106859.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:25:00,86140,52400.0,52410.0,52390.0,52400.0,258.0,106859.0,106895.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:26:00,86141,52400.0,52410.0,52390.0,52390.0,126.0,106895.0,106887.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:27:00,86142,52390.0,52400.0,52360.0,52360.0,207.0,106887.0,106818.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:28:00,86143,52360.0,52370.0,52340.0,52340.0,388.0,106818.0,106813.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:29:00,86144,52340.0,52380.0,52340.0,52370.0,122.0,106813.0,106810.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:30:00,86145,52370.0,52390.0,52360.0,52370.0,256.0,106810.0,106804.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:31:00,86146,52370.0,52370.0,52350.0,52360.0,91.0,106804.0,106839.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:32:00,86147,52360.0,52360.0,52330.0,52340.0,291.0,106839.0,106854.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:33:00,86148,52340.0,52350.0,52330.0,52340.0,182.0,106854.0,106870.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:34:00,86149,52340.0,52340.0,52320.0,52320.0,142.0,106870.0,106860.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:35:00,86150,52320.0,52320.0,52290.0,52320.0,289.0,106860.0,106838.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:36:00,86151,52320.0,52340.0,52320.0,52340.0,80.0,106838.0,106861.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:37:00,86152,52340.0,52340.0,52320.0,52330.0,72.0,106861.0,106855.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:38:00,86153,52330.0,52340.0,52330.0,52330.0,63.0,106855.0,106853.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:39:00,86154,52330.0,52340.0,52320.0,52320.0,92.0,106853.0,106834.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:40:00,86155,52320.0,52340.0,52320.0,52340.0,127.0,106834.0,106875.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:41:00,86156,52340.0,52340.0,52320.0,52330.0,239.0,106875.0,106802.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:42:00,86157,52330.0,52340.0,52320.0,52320.0,146.0,106802.0,106867.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:43:00,86158,52320.0,52320.0,52300.0,52300.0,123.0,106867.0,106856.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:44:00,86159,52300.0,52300.0,52290.0,52290.0,83.0,106856.0,106883.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:45:00,86160,52290.0,52330.0,52290.0,52320.0,162.0,106883.0,106885.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:46:00,86161,52320.0,52330.0,52310.0,52330.0,111.0,106885.0,106937.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:47:00,86162,52330.0,52340.0,52330.0,52340.0,106.0,106937.0,106933.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:48:00,86163,52340.0,52340.0,52330.0,52340.0,82.0,106933.0,106960.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:49:00,86164,52340.0,52340.0,52320.0,52320.0,123.0,106960.0,106999.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:50:00,86165,52320.0,52320.0,52300.0,52310.0,166.0,106999.0,107033.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:51:00,86166,52310.0,52320.0,52310.0,52310.0,45.0,107033.0,107043.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:52:00,86167,52310.0,52330.0,52310.0,52320.0,72.0,107043.0,107057.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:53:00,86168,52320.0,52330.0,52310.0,52330.0,106.0,107057.0,107046.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:54:00,86169,52330.0,52330.0,52320.0,52330.0,60.0,107046.0,107055.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:55:00,86170,52330.0,52340.0,52330.0,52330.0,61.0,107055.0,107045.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:56:00,86171,52330.0,52360.0,52330.0,52350.0,338.0,107045.0,106925.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:57:00,86172,52350.0,52360.0,52340.0,52350.0,102.0,106925.0,106948.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:58:00,86173,52350.0,52390.0,52350.0,52390.0,125.0,106948.0,106944.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 21:59:00,86174,52390.0,52400.0,52380.0,52390.0,152.0,106944.0,106963.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:00:00,86175,52390.0,52400.0,52380.0,52390.0,319.0,106963.0,106950.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:01:00,86176,52390.0,52390.0,52380.0,52390.0,95.0,106950.0,106959.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:02:00,86177,52390.0,52410.0,52380.0,52400.0,206.0,106959.0,106925.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:03:00,86178,52400.0,52420.0,52400.0,52410.0,233.0,106925.0,106933.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:04:00,86179,52410.0,52420.0,52400.0,52410.0,170.0,106933.0,106944.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:05:00,86180,52410.0,52440.0,52410.0,52410.0,480.0,106944.0,107001.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:06:00,86181,52410.0,52420.0,52400.0,52420.0,282.0,107001.0,107024.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:07:00,86182,52420.0,52420.0,52380.0,52380.0,194.0,107024.0,107029.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:08:00,86183,52380.0,52400.0,52380.0,52380.0,163.0,107029.0,107017.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:09:00,86184,52380.0,52390.0,52370.0,52380.0,118.0,107017.0,107017.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:10:00,86185,52380.0,52390.0,52380.0,52390.0,72.0,107017.0,107031.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:11:00,86186,52390.0,52410.0,52380.0,52380.0,148.0,107031.0,107023.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:12:00,86187,52380.0,52380.0,52350.0,52360.0,119.0,107023.0,107014.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:13:00,86188,52360.0,52370.0,52350.0,52370.0,164.0,107014.0,107002.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:14:00,86189,52370.0,52380.0,52350.0,52360.0,151.0,107002.0,107062.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:15:00,86190,52360.0,52360.0,52340.0,52340.0,230.0,107062.0,107088.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:16:00,86191,52340.0,52350.0,52340.0,52350.0,74.0,107088.0,107071.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:17:00,86192,52350.0,52380.0,52340.0,52370.0,160.0,107071.0,107080.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:18:00,86193,52370.0,52380.0,52370.0,52380.0,58.0,107080.0,107079.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:19:00,86194,52380.0,52390.0,52370.0,52380.0,89.0,107079.0,107081.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:20:00,86195,52380.0,52400.0,52380.0,52400.0,44.0,107081.0,107092.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:21:00,86196,52400.0,52400.0,52380.0,52380.0,101.0,107092.0,107128.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:22:00,86197,52380.0,52390.0,52380.0,52380.0,85.0,107128.0,107148.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:23:00,86198,52380.0,52400.0,52380.0,52390.0,58.0,107148.0,107168.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:24:00,86199,52390.0,52410.0,52390.0,52410.0,61.0,107168.0,107181.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:25:00,86200,52410.0,52410.0,52390.0,52400.0,93.0,107181.0,107234.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:26:00,86201,52400.0,52420.0,52400.0,52410.0,129.0,107234.0,107226.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:27:00,86202,52410.0,52460.0,52410.0,52420.0,574.0,107226.0,107312.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:28:00,86203,52420.0,52440.0,52420.0,52430.0,75.0,107312.0,107347.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:29:00,86204,52430.0,52450.0,52430.0,52440.0,159.0,107347.0,107404.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:30:00,86205,52440.0,52500.0,52440.0,52460.0,775.0,107404.0,107493.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:31:00,86206,52460.0,52480.0,52450.0,52460.0,252.0,107493.0,107545.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:32:00,86207,52460.0,52460.0,52410.0,52420.0,180.0,107545.0,107568.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:33:00,86208,52420.0,52450.0,52420.0,52420.0,179.0,107568.0,107600.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:34:00,86209,52420.0,52420.0,52400.0,52420.0,161.0,107600.0,107623.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:35:00,86210,52420.0,52470.0,52410.0,52450.0,430.0,107623.0,107693.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:36:00,86211,52450.0,52450.0,52440.0,52440.0,97.0,107693.0,107689.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:37:00,86212,52440.0,52480.0,52430.0,52480.0,328.0,107689.0,107699.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:38:00,86213,52480.0,52490.0,52470.0,52470.0,251.0,107699.0,107723.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:39:00,86214,52470.0,52480.0,52450.0,52480.0,193.0,107723.0,107852.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:40:00,86215,52480.0,52500.0,52470.0,52490.0,283.0,107852.0,107941.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:41:00,86216,52490.0,52520.0,52480.0,52510.0,405.0,107941.0,107960.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:42:00,86217,52510.0,52520.0,52500.0,52510.0,207.0,107960.0,108035.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:43:00,86218,52510.0,52520.0,52490.0,52490.0,326.0,108035.0,108182.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:44:00,86219,52490.0,52500.0,52470.0,52470.0,229.0,108182.0,108217.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:45:00,86220,52470.0,52480.0,52440.0,52480.0,460.0,108217.0,108370.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:46:00,86221,52480.0,52490.0,52470.0,52480.0,158.0,108370.0,108348.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:47:00,86222,52480.0,52500.0,52480.0,52490.0,95.0,108348.0,108384.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:48:00,86223,52490.0,52530.0,52490.0,52520.0,324.0,108384.0,108461.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:49:00,86224,52520.0,52540.0,52510.0,52510.0,426.0,108461.0,108585.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:50:00,86225,52510.0,52540.0,52510.0,52510.0,211.0,108585.0,108580.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:51:00,86226,52510.0,52520.0,52500.0,52510.0,99.0,108580.0,108616.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:52:00,86227,52510.0,52520.0,52490.0,52500.0,102.0,108616.0,108616.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:53:00,86228,52500.0,52500.0,52470.0,52490.0,271.0,108616.0,108697.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:54:00,86229,52490.0,52500.0,52460.0,52470.0,220.0,108697.0,108724.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:55:00,86230,52470.0,52470.0,52450.0,52450.0,378.0,108724.0,108864.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:56:00,86231,52450.0,52470.0,52440.0,52470.0,188.0,108864.0,108863.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:57:00,86232,52470.0,52480.0,52460.0,52480.0,238.0,108863.0,108972.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:58:00,86233,52480.0,52490.0,52470.0,52480.0,126.0,108972.0,108999.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 22:59:00,86234,52480.0,52490.0,52470.0,52490.0,113.0,108999.0,109023.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:00:00,86235,52490.0,52530.0,52490.0,52530.0,414.0,109023.0,109161.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:01:00,86236,52530.0,52550.0,52510.0,52550.0,497.0,109161.0,109281.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:02:00,86237,52550.0,52550.0,52530.0,52540.0,522.0,109281.0,109441.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:03:00,86238,52540.0,52650.0,52530.0,52650.0,2357.0,109441.0,110399.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:04:00,86239,52650.0,52690.0,52610.0,52670.0,1290.0,110399.0,110875.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:05:00,86240,52670.0,52690.0,52650.0,52660.0,755.0,110875.0,111038.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:06:00,86241,52660.0,52680.0,52610.0,52630.0,718.0,111038.0,111136.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:07:00,86242,52630.0,52650.0,52630.0,52640.0,323.0,111136.0,111211.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:08:00,86243,52640.0,52710.0,52630.0,52710.0,717.0,111211.0,111436.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:09:00,86244,52710.0,52730.0,52660.0,52660.0,603.0,111436.0,111462.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:10:00,86245,52660.0,52690.0,52640.0,52690.0,405.0,111462.0,111404.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:11:00,86246,52690.0,52720.0,52680.0,52680.0,677.0,111404.0,111409.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:12:00,86247,52680.0,52690.0,52670.0,52670.0,248.0,111409.0,111465.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:13:00,86248,52670.0,52680.0,52640.0,52650.0,369.0,111465.0,111487.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:14:00,86249,52650.0,52650.0,52610.0,52630.0,637.0,111487.0,111388.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:15:00,86250,52630.0,52670.0,52630.0,52660.0,366.0,111388.0,111466.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:16:00,86251,52660.0,52660.0,52600.0,52610.0,367.0,111466.0,111436.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:17:00,86252,52610.0,52610.0,52590.0,52600.0,271.0,111436.0,111399.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:18:00,86253,52600.0,52600.0,52540.0,52550.0,559.0,111399.0,111497.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:19:00,86254,52550.0,52590.0,52530.0,52540.0,632.0,111497.0,111466.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:20:00,86255,52540.0,52560.0,52510.0,52540.0,332.0,111466.0,111469.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:21:00,86256,52540.0,52550.0,52520.0,52540.0,158.0,111469.0,111490.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:22:00,86257,52540.0,52550.0,52480.0,52480.0,450.0,111490.0,111411.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:23:00,86258,52480.0,52520.0,52480.0,52500.0,256.0,111411.0,111430.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:24:00,86259,52500.0,52520.0,52490.0,52510.0,132.0,111430.0,111436.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:25:00,86260,52510.0,52530.0,52500.0,52530.0,155.0,111436.0,111435.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:26:00,86261,52530.0,52560.0,52530.0,52550.0,518.0,111435.0,111398.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:27:00,86262,52550.0,52550.0,52520.0,52520.0,260.0,111398.0,111468.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:28:00,86263,52520.0,52530.0,52500.0,52500.0,164.0,111468.0,111458.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:29:00,86264,52500.0,52530.0,52490.0,52500.0,151.0,111458.0,111450.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:30:00,86265,52500.0,52520.0,52480.0,52480.0,274.0,111450.0,111411.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:31:00,86266,52480.0,52510.0,52480.0,52500.0,196.0,111411.0,111396.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:32:00,86267,52500.0,52500.0,52470.0,52470.0,204.0,111396.0,111423.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:33:00,86268,52470.0,52480.0,52420.0,52460.0,547.0,111423.0,111311.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:34:00,86269,52460.0,52460.0,52410.0,52430.0,458.0,111311.0,111319.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:35:00,86270,52430.0,52430.0,52390.0,52430.0,508.0,111319.0,111256.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:36:00,86271,52430.0,52440.0,52420.0,52440.0,190.0,111256.0,111239.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:37:00,86272,52440.0,52440.0,52400.0,52420.0,147.0,111239.0,111247.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:38:00,86273,52420.0,52420.0,52360.0,52390.0,343.0,111247.0,111226.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:39:00,86274,52390.0,52400.0,52380.0,52390.0,176.0,111226.0,111221.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:40:00,86275,52390.0,52420.0,52380.0,52420.0,235.0,111221.0,111168.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:41:00,86276,52420.0,52440.0,52410.0,52430.0,204.0,111168.0,111178.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:42:00,86277,52430.0,52430.0,52410.0,52420.0,252.0,111178.0,111160.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:43:00,86278,52420.0,52460.0,52420.0,52440.0,268.0,111160.0,111153.0
cu2012.SHFE,SHFE.cu2012,2020-11-13 23:44:00,86279,52440.0,52440.0,52410.0,52430.0,163.0,111153.0,111113.0
