vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
MA101.CZCE,CZCE.MA101,2020-12-11 14:59:00,67634,2433.0,2436.0,2431.0,2435.0,7401.0,520212.0,519410.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:00:00,67635,2422.0,2424.0,2405.0,2408.0,31655.0,519410.0,504556.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:01:00,67636,2408.0,2408.0,2385.0,2393.0,25125.0,504556.0,488925.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:02:00,67637,2393.0,2396.0,2384.0,2392.0,14897.0,488925.0,479895.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:03:00,67638,2392.0,2401.0,2392.0,2397.0,9789.0,479895.0,473874.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:04:00,67639,2397.0,2398.0,2391.0,2393.0,7673.0,473874.0,469738.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:05:00,67640,2393.0,2397.0,2391.0,2394.0,8441.0,469738.0,465383.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:06:00,67641,2394.0,2399.0,2394.0,2397.0,5249.0,465383.0,461841.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:07:00,67642,2397.0,2399.0,2395.0,2399.0,4881.0,461841.0,459355.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:08:00,67643,2399.0,2405.0,2397.0,2403.0,6059.0,459355.0,457058.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:09:00,67644,2403.0,2403.0,2399.0,2399.0,5128.0,457058.0,454619.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:10:00,67645,2399.0,2401.0,2398.0,2399.0,3298.0,454619.0,452552.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:11:00,67646,2399.0,2401.0,2395.0,2400.0,3983.0,452552.0,450102.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:12:00,67647,2400.0,2400.0,2394.0,2396.0,5946.0,450102.0,446760.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:13:00,67648,2396.0,2399.0,2395.0,2398.0,4020.0,446760.0,444109.0
MA101.CZCE,CZCE.MA101,2020-12-11 21:14:00,67649,2398.0,2400.0,2395.0,2396.0,3034.0,444109.0,443288.0
