vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
fu2501.SHFE,SHFE.fu2501,2024-11-29 22:59:00,75179,3209.0,3211.0,3208.0,3209.0,2403.0,152199.0,151562.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:00:00,75180,3172.0,3186.0,3171.0,3183.0,13518.0,151562.0,148117.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:01:00,75181,3183.0,3184.0,3176.0,3178.0,5497.0,148117.0,147014.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:02:00,75182,3178.0,3181.0,3175.0,3179.0,3902.0,147014.0,146843.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:03:00,75183,3179.0,3183.0,3179.0,3181.0,3327.0,146843.0,146432.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:04:00,75184,3181.0,3182.0,3177.0,3177.0,3379.0,146432.0,146133.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:05:00,75185,3177.0,3185.0,3176.0,3185.0,2811.0,146133.0,145715.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:06:00,75186,3185.0,3187.0,3183.0,3186.0,3205.0,145715.0,145789.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:07:00,75187,3186.0,3189.0,3185.0,3187.0,1924.0,145789.0,145909.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:08:00,75188,3187.0,3188.0,3185.0,3186.0,1368.0,145909.0,145712.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:09:00,75189,3186.0,3189.0,3186.0,3187.0,1925.0,145712.0,145510.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:10:00,75190,3187.0,3187.0,3184.0,3187.0,2432.0,145510.0,145213.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:11:00,75191,3187.0,3188.0,3185.0,3186.0,1407.0,145213.0,145001.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:12:00,75192,3186.0,3187.0,3183.0,3183.0,997.0,145001.0,144817.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:13:00,75193,3183.0,3184.0,3181.0,3182.0,1741.0,144817.0,144898.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:14:00,75194,3182.0,3185.0,3182.0,3184.0,1215.0,144898.0,144674.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:15:00,75195,3184.0,3187.0,3183.0,3186.0,1643.0,144674.0,144665.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:16:00,75196,3186.0,3187.0,3182.0,3183.0,1883.0,144665.0,144841.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:17:00,75197,3183.0,3185.0,3182.0,3185.0,1050.0,144841.0,144805.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:18:00,75198,3185.0,3185.0,3183.0,3184.0,424.0,144805.0,144728.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:19:00,75199,3184.0,3185.0,3183.0,3184.0,733.0,144728.0,144486.0
fu2501.SHFE,SHFE.fu2501,2024-12-02 09:20:00,75200,3184.0,3184.0,3183.0,3183.0,266.0,144486.0,144459.0
