vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
SM105.CZCE,CZCE.SM105,2021-01-18 09:00:00,36231,7356.0,7356.0,7356.0,7356.0,0.0,139064.0,139064.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:01:00,36232,7336.0,7336.0,7336.0,7336.0,0.0,138938.0,138938.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:02:00,36233,7314.0,7314.0,7314.0,7314.0,0.0,138997.0,138997.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:03:00,36234,7322.0,7322.0,7322.0,7322.0,0.0,138952.0,138952.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:04:00,36235,7340.0,7340.0,7340.0,7340.0,0.0,138724.0,138724.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:05:00,36236,7364.0,7364.0,7364.0,7364.0,0.0,138152.0,138152.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:06:00,36237,7362.0,7362.0,7362.0,7362.0,0.0,137708.0,137708.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:07:00,36238,7386.0,7386.0,7386.0,7386.0,0.0,137448.0,137448.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:08:00,36239,7382.0,7382.0,7382.0,7382.0,0.0,137201.0,137201.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:09:00,36240,7394.0,7394.0,7394.0,7394.0,0.0,136738.0,136738.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:10:00,36241,7396.0,7396.0,7396.0,7396.0,0.0,136395.0,136395.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:11:00,36242,7390.0,7390.0,7390.0,7390.0,0.0,136027.0,136027.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:12:00,36243,7392.0,7392.0,7392.0,7392.0,0.0,135949.0,135949.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:13:00,36244,7398.0,7398.0,7398.0,7398.0,0.0,135362.0,135362.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:14:00,36245,7406.0,7406.0,7406.0,7406.0,0.0,135183.0,135183.0
SM105.CZCE,CZCE.SM105,2021-01-18 09:15:00,36246,7428.0,7428.0,7428.0,7428.0,0.0,135282.0,135282.0
