vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
jm2501.DCE,DCE.jm2501,2024-08-19 21:00:00,48850,1341.0,1341.0,1341.0,1341.0,0.0,139895.0,139895.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:01:00,48851,1344.5,1344.5,1344.5,1344.5,0.0,139313.0,139313.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:02:00,48852,1343.5,1343.5,1343.5,1343.5,0.0,139053.0,139053.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:03:00,48853,1337.5,1337.5,1337.5,1337.5,0.0,138219.0,138219.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:04:00,48854,1344.0,1344.0,1344.0,1344.0,0.0,137895.0,137895.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:05:00,48855,1347.0,1347.0,1347.0,1347.0,0.0,137635.0,137635.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:06:00,48856,1350.5,1350.5,1350.5,1350.5,0.0,137385.0,137385.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:07:00,48857,1348.5,1348.5,1348.5,1348.5,0.0,137138.0,137138.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:08:00,48858,1349.5,1349.5,1349.5,1349.5,0.0,136957.0,136957.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:09:00,48859,1346.0,1346.0,1346.0,1346.0,0.0,136808.0,136808.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:10:00,48860,1347.5,1347.5,1347.5,1347.5,0.0,136725.0,136725.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:11:00,48861,1345.0,1345.0,1345.0,1345.0,0.0,136667.0,136667.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:12:00,48862,1341.5,1341.5,1341.5,1341.5,0.0,136404.0,136404.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:13:00,48863,1342.5,1342.5,1342.5,1342.5,0.0,136343.0,136343.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:14:00,48864,1344.0,1344.0,1344.0,1344.0,0.0,136372.0,136372.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:15:00,48865,1344.0,1344.0,1344.0,1344.0,0.0,136303.0,136303.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:16:00,48866,1346.0,1346.0,1346.0,1346.0,0.0,136276.0,136276.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:17:00,48867,1344.0,1344.0,1344.0,1344.0,0.0,136307.0,136307.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:18:00,48868,1343.5,1343.5,1343.5,1343.5,0.0,136333.0,136333.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:19:00,48869,1342.5,1342.5,1342.5,1342.5,0.0,136379.0,136379.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:20:00,48870,1342.5,1342.5,1342.5,1342.5,0.0,136417.0,136417.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:21:00,48871,1340.0,1340.0,1340.0,1340.0,0.0,136428.0,136428.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:22:00,48872,1338.5,1338.5,1338.5,1338.5,0.0,136344.0,136344.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:23:00,48873,1338.5,1338.5,1338.5,1338.5,0.0,136391.0,136391.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:24:00,48874,1340.5,1340.5,1340.5,1340.5,0.0,136382.0,136382.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:25:00,48875,1340.0,1340.0,1340.0,1340.0,0.0,136408.0,136408.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:26:00,48876,1339.5,1339.5,1339.5,1339.5,0.0,136417.0,136417.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:27:00,48877,1338.5,1338.5,1338.5,1338.5,0.0,136417.0,136417.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:28:00,48878,1337.0,1337.0,1337.0,1337.0,0.0,136316.0,136316.0
jm2501.DCE,DCE.jm2501,2024-08-19 21:29:00,48879,1337.5,1337.5,1337.5,1337.5,0.0,136287.0,136287.0
