vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
au2112.SHFE,SHFE.au2112,2021-07-30 21:00:00,93811,381.4,381.4,381.4,381.4,0.0,174179.0,174179.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:01:00,93812,381.5,381.5,381.5,381.5,0.0,174433.0,174433.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:02:00,93813,381.6,381.6,381.6,381.6,0.0,174514.0,174514.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:03:00,93814,381.54,381.54,381.54,381.54,0.0,174522.0,174522.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:04:00,93815,381.62,381.62,381.62,381.62,0.0,174570.0,174570.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:05:00,93816,381.54,381.54,381.54,381.54,0.0,174610.0,174610.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:06:00,93817,381.18,381.18,381.18,381.18,0.0,174156.0,174156.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:07:00,93818,381.24,381.24,381.24,381.24,0.0,174040.0,174040.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:08:00,93819,381.24,381.24,381.24,381.24,0.0,173989.0,173989.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:09:00,93820,381.28,381.28,381.28,381.28,0.0,173950.0,173950.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:10:00,93821,381.5,381.5,381.5,381.5,0.0,173854.0,173854.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:11:00,93822,381.58,381.58,381.58,381.58,0.0,173849.0,173849.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:12:00,93823,381.52,381.52,381.52,381.52,0.0,173818.0,173818.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:13:00,93824,381.64,381.64,381.64,381.64,0.0,173842.0,173842.0
au2112.SHFE,SHFE.au2112,2021-07-30 21:14:00,93825,381.54,381.54,381.54,381.54,0.0,173899.0,173899.0
