vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:00:00,60390,3928.0,3928.0,3928.0,3928.0,0.0,330239.0,330239.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:01:00,60391,3933.0,3933.0,3933.0,3933.0,0.0,331077.0,331077.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:02:00,60392,3936.0,3936.0,3936.0,3936.0,0.0,330919.0,330919.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:03:00,60393,3936.0,3936.0,3936.0,3936.0,0.0,330689.0,330689.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:04:00,60394,3933.0,3933.0,3933.0,3933.0,0.0,330845.0,330845.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:05:00,60395,3935.0,3935.0,3935.0,3935.0,0.0,331249.0,331249.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:06:00,60396,3934.0,3934.0,3934.0,3934.0,0.0,331493.0,331493.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:07:00,60397,3931.0,3931.0,3931.0,3931.0,0.0,331822.0,331822.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:08:00,60398,3930.0,3930.0,3930.0,3930.0,0.0,331905.0,331905.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:09:00,60399,3934.0,3934.0,3934.0,3934.0,0.0,331952.0,331952.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:10:00,60400,3934.0,3934.0,3934.0,3934.0,0.0,331888.0,331888.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:11:00,60401,3933.0,3933.0,3933.0,3933.0,0.0,331974.0,331974.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:12:00,60402,3936.0,3936.0,3936.0,3936.0,0.0,331858.0,331858.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:13:00,60403,3938.0,3938.0,3938.0,3938.0,0.0,331958.0,331958.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:14:00,60404,3937.0,3937.0,3937.0,3937.0,0.0,332022.0,332022.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:15:00,60405,3938.0,3938.0,3938.0,3938.0,0.0,331845.0,331845.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:16:00,60406,3936.0,3936.0,3936.0,3936.0,0.0,332186.0,332186.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:17:00,60407,3935.0,3935.0,3935.0,3935.0,0.0,332285.0,332285.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:18:00,60408,3937.0,3937.0,3937.0,3937.0,0.0,332365.0,332365.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:19:00,60409,3938.0,3938.0,3938.0,3938.0,0.0,332596.0,332596.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:20:00,60410,3936.0,3936.0,3936.0,3936.0,0.0,332702.0,332702.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:21:00,60411,3935.0,3935.0,3935.0,3935.0,0.0,332770.0,332770.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:22:00,60412,3936.0,3936.0,3936.0,3936.0,0.0,332756.0,332756.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:23:00,60413,3937.0,3937.0,3937.0,3937.0,0.0,332739.0,332739.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:24:00,60414,3937.0,3937.0,3937.0,3937.0,0.0,332828.0,332828.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:25:00,60415,3937.0,3937.0,3937.0,3937.0,0.0,332929.0,332929.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:26:00,60416,3934.0,3934.0,3934.0,3934.0,0.0,332991.0,332991.0
hc2101.SHFE,SHFE.hc2101,2020-11-12 21:27:00,60417,3935.0,3935.0,3935.0,3935.0,0.0,333155.0,333155.0
