trade_date,datetime,symbol,exchange,open,high,low,close,volume,open_interest
2017-05-26,2017-05-26T00:00:00+08:00,fu1804,SHFE,4188.0,4188.0,4188.0,4188.0,1.0,0.0
2017-06-01,2017-06-01T00:00:00+08:00,fu1804,SHFE,3779.0,4174.0,3779.0,3829.0,23.0,1.0
2017-06-14,2017-06-14T00:00:00+08:00,fu1804,SHFE,4199.0,4199.0,3830.0,3911.0,7.0,1.0
2017-06-15,2017-06-15T00:00:00+08:00,fu1804,SHFE,3730.0,4023.0,3730.0,3987.0,10.0,2.0
2017-06-16,2017-06-16T00:00:00+08:00,fu1804,SHFE,3717.0,3999.0,3717.0,3864.0,5.0,2.0
2017-06-19,2017-06-19T00:00:00+08:00,fu1804,SHFE,4079.0,4079.0,4079.0,4079.0,1.0,1.0
2017-06-20,2017-06-20T00:00:00+08:00,fu1804,SHFE,3903.0,3903.0,3903.0,3903.0,1.0,1.0
2017-06-21,2017-06-21T00:00:00+08:00,fu1804,SHFE,4049.0,4049.0,3847.0,3847.0,5.0,0.0
2017-06-23,2017-06-23T00:00:00+08:00,fu1804,SHFE,3773.0,3783.0,3773.0,3783.0,2.0,1.0
2017-06-27,2017-06-27T00:00:00+08:00,fu1804,SHFE,3790.0,3790.0,3790.0,3790.0,1.0,1.0
2017-08-03,2017-08-03T00:00:00+08:00,fu1804,SHFE,4088.0,4088.0,4088.0,4088.0,0.0,0.0
2017-08-04,2017-08-04T00:00:00+08:00,fu1804,SHFE,4100.0,4100.0,4100.0,4100.0,0.0,0.0
2017-08-07,2017-08-07T00:00:00+08:00,fu1804,SHFE,4079.0,4079.0,4079.0,4079.0,0.0,0.0
2017-08-08,2017-08-08T00:00:00+08:00,fu1804,SHFE,3875.0,3875.0,3875.0,3875.0,0.0,0.0
2017-08-09,2017-08-09T00:00:00+08:00,fu1804,SHFE,3875.0,3875.0,3875.0,3875.0,0.0,0.0
2017-08-10,2017-08-10T00:00:00+08:00,fu1804,SHFE,4068.0,4068.0,4068.0,4068.0,0.0,0.0
2017-08-11,2017-08-11T00:00:00+08:00,fu1804,SHFE,4004.0,4004.0,4004.0,4004.0,0.0,0.0
2017-08-14,2017-08-14T00:00:00+08:00,fu1804,SHFE,4004.0,4004.0,4004.0,4004.0,0.0,0.0
2017-08-15,2017-08-15T00:00:00+08:00,fu1804,SHFE,4004.0,4004.0,4004.0,4004.0,0.0,0.0
2017-08-16,2017-08-16T00:00:00+08:00,fu1804,SHFE,3907.0,3907.0,3907.0,3907.0,0.0,0.0
2017-08-17,2017-08-17T00:00:00+08:00,fu1804,SHFE,4012.0,4012.0,4012.0,4012.0,0.0,0.0
2017-08-18,2017-08-18T00:00:00+08:00,fu1804,SHFE,4208.0,4208.0,4208.0,4208.0,0.0,0.0
2017-08-21,2017-08-21T00:00:00+08:00,fu1804,SHFE,4275.0,4275.0,4275.0,4275.0,0.0,0.0
2017-08-22,2017-08-22T00:00:00+08:00,fu1804,SHFE,4283.0,4283.0,4283.0,4283.0,0.0,0.0
2017-08-23,2017-08-23T00:00:00+08:00,fu1804,SHFE,4283.0,4283.0,4283.0,4283.0,0.0,0.0
2017-08-24,2017-08-24T00:00:00+08:00,fu1804,SHFE,4490.0,4490.0,4490.0,4490.0,0.0,0.0
2017-08-25,2017-08-25T00:00:00+08:00,fu1804,SHFE,4484.0,4484.0,4484.0,4484.0,0.0,0.0
2017-08-28,2017-08-28T00:00:00+08:00,fu1804,SHFE,4484.0,4484.0,4484.0,4484.0,0.0,0.0
2017-08-29,2017-08-29T00:00:00+08:00,fu1804,SHFE,4484.0,4484.0,4484.0,4484.0,0.0,0.0
2017-08-30,2017-08-30T00:00:00+08:00,fu1804,SHFE,4484.0,4484.0,4484.0,4484.0,0.0,0.0
2017-08-31,2017-08-31T00:00:00+08:00,fu1804,SHFE,4484.0,4484.0,4484.0,4484.0,0.0,0.0
2017-09-01,2017-09-01T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-04,2017-09-04T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-05,2017-09-05T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-06,2017-09-06T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-07,2017-09-07T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-08,2017-09-08T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-11,2017-09-11T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-12,2017-09-12T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-13,2017-09-13T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-14,2017-09-14T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
