vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi,required_date,minute_source,bar_date
OI909.CZCE,CZCE.OI909,2019-06-14 09:00:00,65100,7106.0,7106.0,7106.0,7106.0,0.0,138230.0,138230.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:01:00,65101,7102.0,7102.0,7102.0,7102.0,0.0,138477.0,138477.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:02:00,65102,7106.0,7106.0,7106.0,7106.0,0.0,138517.0,138517.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:03:00,65103,7112.0,7112.0,7112.0,7112.0,0.0,138750.0,138750.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:04:00,65104,7112.0,7112.0,7112.0,7112.0,0.0,139047.0,139047.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:05:00,65105,7108.0,7108.0,7108.0,7108.0,0.0,139172.0,139172.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:06:00,65106,7114.0,7114.0,7114.0,7114.0,0.0,139363.0,139363.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:07:00,65107,7113.0,7113.0,7113.0,7113.0,0.0,139534.0,139534.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:08:00,65108,7117.0,7117.0,7117.0,7117.0,0.0,139772.0,139772.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:09:00,65109,7116.0,7116.0,7116.0,7116.0,0.0,139876.0,139876.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:10:00,65110,7114.0,7114.0,7114.0,7114.0,0.0,140042.0,140042.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:11:00,65111,7115.0,7115.0,7115.0,7115.0,0.0,140092.0,140092.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:12:00,65112,7111.0,7111.0,7111.0,7111.0,0.0,140120.0,140120.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:13:00,65113,7110.0,7110.0,7110.0,7110.0,0.0,140072.0,140072.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:14:00,65114,7110.0,7110.0,7110.0,7110.0,0.0,140069.0,140069.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:15:00,65115,7113.0,7113.0,7113.0,7113.0,0.0,140151.0,140151.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
OI909.CZCE,CZCE.OI909,2019-06-14 09:16:00,65116,7113.0,7113.0,7113.0,7113.0,0.0,140269.0,140269.0,2019-06-14,tqsdk_stage859_backtest,2019-06-14
