vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi,required_date,minute_source,bar_date
SM809.CZCE,CZCE.SM809,2018-07-27 09:00:00,46900,8150.0,8150.0,8150.0,8150.0,0.0,66296.0,66296.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:01:00,46901,8146.0,8146.0,8146.0,8146.0,0.0,66063.0,66063.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:02:00,46902,8148.0,8148.0,8148.0,8148.0,0.0,65934.0,65934.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:03:00,46903,8132.0,8132.0,8132.0,8132.0,0.0,65773.0,65773.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:04:00,46904,8136.0,8136.0,8136.0,8136.0,0.0,65798.0,65798.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:05:00,46905,8138.0,8138.0,8138.0,8138.0,0.0,65830.0,65830.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:06:00,46906,8134.0,8134.0,8134.0,8134.0,0.0,65884.0,65884.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:07:00,46907,8144.0,8144.0,8144.0,8144.0,0.0,65948.0,65948.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:08:00,46908,8184.0,8184.0,8184.0,8184.0,0.0,66441.0,66441.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:09:00,46909,8174.0,8174.0,8174.0,8174.0,0.0,66643.0,66643.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:10:00,46910,8162.0,8162.0,8162.0,8162.0,0.0,66812.0,66812.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:11:00,46911,8168.0,8168.0,8168.0,8168.0,0.0,66865.0,66865.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:12:00,46912,8160.0,8160.0,8160.0,8160.0,0.0,66716.0,66716.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:13:00,46913,8158.0,8158.0,8158.0,8158.0,0.0,66742.0,66742.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:14:00,46914,8162.0,8162.0,8162.0,8162.0,0.0,66741.0,66741.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:15:00,46915,8164.0,8164.0,8164.0,8164.0,0.0,66720.0,66720.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
SM809.CZCE,CZCE.SM809,2018-07-27 09:16:00,46916,8162.0,8162.0,8162.0,8162.0,0.0,66683.0,66683.0,2018-07-27,tqsdk_stage859_backtest,2018-07-27
