vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi,required_date,minute_source,bar_date
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:00:00,58856,4025.0,4025.0,4025.0,4025.0,0.0,429841.0,429841.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:01:00,58857,4009.0,4009.0,4009.0,4009.0,0.0,429819.0,429819.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:02:00,58858,3997.0,3997.0,3997.0,3997.0,0.0,428398.0,428398.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:03:00,58859,3989.0,3989.0,3989.0,3989.0,0.0,428400.0,428400.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:04:00,58860,3995.0,3995.0,3995.0,3995.0,0.0,428032.0,428032.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:05:00,58861,4008.0,4008.0,4008.0,4008.0,0.0,426945.0,426945.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:06:00,58862,4007.0,4007.0,4007.0,4007.0,0.0,426904.0,426904.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:07:00,58863,4010.0,4010.0,4010.0,4010.0,0.0,427602.0,427602.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:08:00,58864,4005.0,4005.0,4005.0,4005.0,0.0,426888.0,426888.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:09:00,58865,4008.0,4008.0,4008.0,4008.0,0.0,426714.0,426714.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:10:00,58866,4003.0,4003.0,4003.0,4003.0,0.0,426578.0,426578.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:11:00,58867,4004.0,4004.0,4004.0,4004.0,0.0,426899.0,426899.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:12:00,58868,4005.0,4005.0,4005.0,4005.0,0.0,427244.0,427244.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:13:00,58869,4009.0,4009.0,4009.0,4009.0,0.0,427440.0,427440.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:14:00,58870,4012.0,4012.0,4012.0,4012.0,0.0,427584.0,427584.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:15:00,58871,4028.0,4028.0,4028.0,4028.0,0.0,428170.0,428170.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:16:00,58872,4027.0,4027.0,4027.0,4027.0,0.0,428860.0,428860.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:17:00,58873,4028.0,4028.0,4028.0,4028.0,0.0,428859.0,428859.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:18:00,58874,4031.0,4031.0,4031.0,4031.0,0.0,429262.0,429262.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:19:00,58875,4021.0,4021.0,4021.0,4021.0,0.0,428870.0,428870.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:20:00,58876,4023.0,4023.0,4023.0,4023.0,0.0,429018.0,429018.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
hc1910.SHFE,SHFE.hc1910,2019-07-01 09:21:00,58877,4023.0,4023.0,4023.0,4023.0,0.0,428945.0,428945.0,2019-07-01,tqsdk_stage859_backtest,2019-07-01
