vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi,required_date,minute_source,bar_date
MA905.CZCE,CZCE.MA905,2019-03-04 09:00:00,72150,2617.0,2617.0,2617.0,2617.0,0.0,616450.0,616450.0,2019-03-04,stage900_tqsdk_backtest,2019-03-04
MA905.CZCE,CZCE.MA905,2019-03-04 09:01:00,72151,2609.0,2609.0,2609.0,2609.0,0.0,609511.0,609511.0,2019-03-04,stage900_tqsdk_backtest,2019-03-04
MA905.CZCE,CZCE.MA905,2019-03-04 09:02:00,72152,2618.0,2618.0,2618.0,2618.0,0.0,607286.0,607286.0,2019-03-04,stage900_tqsdk_backtest,2019-03-04
MA905.CZCE,CZCE.MA905,2019-03-04 09:03:00,72153,2625.0,2625.0,2625.0,2625.0,0.0,605492.0,605492.0,2019-03-04,stage900_tqsdk_backtest,2019-03-04
MA905.CZCE,CZCE.MA905,2019-03-04 09:04:00,72154,2622.0,2622.0,2622.0,2622.0,0.0,605200.0,605200.0,2019-03-04,stage900_tqsdk_backtest,2019-03-04
MA905.CZCE,CZCE.MA905,2019-03-04 09:05:00,72155,2618.0,2618.0,2618.0,2618.0,0.0,602962.0,602962.0,2019-03-04,stage900_tqsdk_backtest,2019-03-04
MA905.CZCE,CZCE.MA905,2019-03-04 09:06:00,72156,2615.0,2615.0,2615.0,2615.0,0.0,602058.0,602058.0,2019-03-04,stage900_tqsdk_backtest,2019-03-04
MA905.CZCE,CZCE.MA905,2019-03-04 09:07:00,72157,2623.0,2623.0,2623.0,2623.0,0.0,601144.0,601144.0,2019-03-04,stage900_tqsdk_backtest,2019-03-04
MA905.CZCE,CZCE.MA905,2019-03-04 09:08:00,72158,2628.0,2628.0,2628.0,2628.0,0.0,602463.0,602463.0,2019-03-04,stage900_tqsdk_backtest,2019-03-04
MA905.CZCE,CZCE.MA905,2019-03-04 09:09:00,72159,2648.0,2648.0,2648.0,2648.0,0.0,604407.0,604407.0,2019-03-04,stage900_tqsdk_backtest,2019-03-04
MA905.CZCE,CZCE.MA905,2019-03-04 09:10:00,72160,2658.0,2658.0,2658.0,2658.0,0.0,604780.0,604780.0,2019-03-04,stage900_tqsdk_backtest,2019-03-04
MA905.CZCE,CZCE.MA905,2019-03-04 09:11:00,72161,2662.0,2662.0,2662.0,2662.0,0.0,607805.0,607805.0,2019-03-04,stage900_tqsdk_backtest,2019-03-04
