vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi,required_date,minute_source,bar_date
au2206.SHFE,SHFE.au2206,2022-05-10 00:01:00,128830,403.4,403.4,403.4,403.4,0.0,107114.0,107114.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:02:00,128831,403.36,403.36,403.36,403.36,0.0,107142.0,107142.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:03:00,128832,403.4,403.4,403.4,403.4,0.0,107145.0,107145.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:04:00,128833,403.36,403.36,403.36,403.36,0.0,107099.0,107099.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:05:00,128834,403.4,403.4,403.4,403.4,0.0,107123.0,107123.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:06:00,128835,403.48,403.48,403.48,403.48,0.0,107116.0,107116.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:07:00,128836,403.66,403.66,403.66,403.66,0.0,107072.0,107072.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:08:00,128837,403.54,403.54,403.54,403.54,0.0,107092.0,107092.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:09:00,128838,403.44,403.44,403.44,403.44,0.0,107099.0,107099.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:10:00,128839,403.38,403.38,403.38,403.38,0.0,107156.0,107156.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:11:00,128840,403.32,403.32,403.32,403.32,0.0,107218.0,107218.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:12:00,128841,403.36,403.36,403.36,403.36,0.0,107225.0,107225.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:13:00,128842,403.52,403.52,403.52,403.52,0.0,107195.0,107195.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:14:00,128843,403.5,403.5,403.5,403.5,0.0,107171.0,107171.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:15:00,128844,403.58,403.58,403.58,403.58,0.0,107163.0,107163.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:16:00,128845,403.76,403.76,403.76,403.76,0.0,107103.0,107103.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:17:00,128846,403.76,403.76,403.76,403.76,0.0,107093.0,107093.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:18:00,128847,403.76,403.76,403.76,403.76,0.0,107126.0,107126.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:19:00,128848,403.72,403.72,403.72,403.72,0.0,107127.0,107127.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:20:00,128849,403.82,403.82,403.82,403.82,0.0,107129.0,107129.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:21:00,128850,403.7,403.7,403.7,403.7,0.0,107148.0,107148.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:22:00,128851,403.56,403.56,403.56,403.56,0.0,107160.0,107160.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:23:00,128852,403.48,403.48,403.48,403.48,0.0,107165.0,107165.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:24:00,128853,403.44,403.44,403.44,403.44,0.0,107198.0,107198.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:25:00,128854,403.5,403.5,403.5,403.5,0.0,107197.0,107197.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:26:00,128855,403.4,403.4,403.4,403.4,0.0,107220.0,107220.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:27:00,128856,403.3,403.3,403.3,403.3,0.0,107237.0,107237.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:28:00,128857,403.5,403.5,403.5,403.5,0.0,107237.0,107237.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
au2206.SHFE,SHFE.au2206,2022-05-10 00:29:00,128858,403.52,403.52,403.52,403.52,0.0,107251.0,107251.0,2022-05-10,stage900_tqsdk_backtest,2022-05-10
