vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi,required_date,minute_source,bar_date
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:00:00,72658,5225.0,5225.0,5225.0,5225.0,0.0,401392.0,401392.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:01:00,72659,5218.0,5218.0,5218.0,5218.0,0.0,401172.0,401172.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:02:00,72660,5216.0,5216.0,5216.0,5216.0,0.0,401112.0,401112.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:03:00,72661,5213.0,5213.0,5213.0,5213.0,0.0,401246.0,401246.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:04:00,72662,5213.0,5213.0,5213.0,5213.0,0.0,400862.0,400862.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:05:00,72663,5221.0,5221.0,5221.0,5221.0,0.0,400827.0,400827.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:06:00,72664,5226.0,5226.0,5226.0,5226.0,0.0,400405.0,400405.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:07:00,72665,5219.0,5219.0,5219.0,5219.0,0.0,400305.0,400305.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:08:00,72666,5230.0,5230.0,5230.0,5230.0,0.0,400327.0,400327.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:09:00,72667,5226.0,5226.0,5226.0,5226.0,0.0,400281.0,400281.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:10:00,72668,5228.0,5228.0,5228.0,5228.0,0.0,400138.0,400138.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:11:00,72669,5222.0,5222.0,5222.0,5222.0,0.0,400004.0,400004.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:12:00,72670,5224.0,5224.0,5224.0,5224.0,0.0,399945.0,399945.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:13:00,72671,5223.0,5223.0,5223.0,5223.0,0.0,399844.0,399844.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:14:00,72672,5222.0,5222.0,5222.0,5222.0,0.0,399718.0,399718.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:15:00,72673,5222.0,5222.0,5222.0,5222.0,0.0,399690.0,399690.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:16:00,72674,5217.0,5217.0,5217.0,5217.0,0.0,399743.0,399743.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:17:00,72675,5217.0,5217.0,5217.0,5217.0,0.0,399758.0,399758.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:18:00,72676,5225.0,5225.0,5225.0,5225.0,0.0,399818.0,399818.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:19:00,72677,5227.0,5227.0,5227.0,5227.0,0.0,399755.0,399755.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:20:00,72678,5229.0,5229.0,5229.0,5229.0,0.0,399669.0,399669.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:21:00,72679,5231.0,5231.0,5231.0,5231.0,0.0,399608.0,399608.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:22:00,72680,5231.0,5231.0,5231.0,5231.0,0.0,399462.0,399462.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:23:00,72681,5233.0,5233.0,5233.0,5233.0,0.0,399455.0,399455.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:24:00,72682,5230.0,5230.0,5230.0,5230.0,0.0,399518.0,399518.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
hc2205.SHFE,SHFE.hc2205,2022-03-30 09:25:00,72683,5231.0,5231.0,5231.0,5231.0,0.0,399550.0,399550.0,2022-03-30,stage900_tqsdk_backtest,2022-03-30
