ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
AP2001.ZCE,2019-09-18,7957.0,7964.0,7957.0,8058.0,7940.0,8011.0,8011.0,47.0,47.0,135606.0,1086383.21,115962.0,2292.0
AP2001.ZCE,2019-09-19,8011.0,8011.0,8020.0,8047.0,7818.0,7877.0,7906.0,-134.0,-105.0,272580.0,2154970.84,142934.0,26972.0
AP2001.ZCE,2019-09-20,7877.0,7906.0,7884.0,7889.0,7749.0,7750.0,7822.0,-156.0,-84.0,202104.0,1580788.56,158300.0,15366.0
AP2001.ZCE,2019-09-23,7750.0,7822.0,7728.0,7735.0,7466.0,7545.0,7576.0,-277.0,-246.0,484516.0,3670912.06,186606.0,28306.0
AP2001.ZCE,2019-09-24,7545.0,7576.0,7560.0,7613.0,7517.0,7582.0,7564.0,6.0,-12.0,277734.0,2100704.98,172862.0,-13744.0
AP2001.ZCE,2019-09-25,7582.0,7564.0,7590.0,7658.0,7522.0,7618.0,7603.0,54.0,39.0,287032.0,2182394.82,162696.0,-10166.0
AP2001.ZCE,2019-09-26,7618.0,7603.0,7630.0,7736.0,7556.0,7640.0,7655.0,37.0,52.0,374016.0,2863025.33,156194.0,-6502.0
AP2001.ZCE,2019-09-27,7640.0,7655.0,7600.0,7670.0,7472.0,7531.0,7569.0,-124.0,-86.0,341564.0,2585261.8,154698.0,-1496.0
AP2001.ZCE,2019-09-30,7531.0,7569.0,7496.0,7539.0,7335.0,7400.0,7403.0,-169.0,-166.0,364166.0,2696059.05,155800.0,1102.0
AP2001.ZCE,2019-10-08,7400.0,7403.0,7363.0,7788.0,7351.0,7772.0,7655.0,369.0,252.0,526494.0,4030362.39,148500.0,-7300.0
AP2001.ZCE,2019-10-09,7772.0,7655.0,7784.0,7794.0,7594.0,7636.0,7665.0,-19.0,10.0,390370.0,2992373.24,150362.0,1862.0
AP2001.ZCE,2019-10-10,7636.0,7665.0,7660.0,7723.0,7618.0,7660.0,7674.0,-5.0,9.0,308880.0,2370469.57,153654.0,3292.0
AP2001.ZCE,2019-10-11,7660.0,7674.0,7648.0,7718.0,7534.0,7556.0,7633.0,-118.0,-41.0,372426.0,2842896.07,158476.0,4822.0
AP2001.ZCE,2019-10-14,7556.0,7633.0,7569.0,7738.0,7544.0,7701.0,7678.0,68.0,45.0,347124.0,2665080.37,155526.0,-2950.0
AP2001.ZCE,2019-10-15,7701.0,7678.0,7670.0,7750.0,7562.0,7686.0,7645.0,8.0,-33.0,352220.0,2692717.57,151806.0,-3720.0
AP2001.ZCE,2019-10-16,7686.0,7645.0,7699.0,7728.0,7642.0,7697.0,7686.0,52.0,41.0,284150.0,2183892.93,154154.0,2348.0
AP2001.ZCE,2019-10-17,7697.0,7686.0,7710.0,7774.0,7590.0,7630.0,7659.0,-56.0,-27.0,405324.0,3104524.74,155344.0,1190.0
AP2001.ZCE,2019-10-18,7630.0,7659.0,7649.0,7688.0,7481.0,7673.0,7575.0,14.0,-84.0,495146.0,3750581.62,144052.0,-11292.0
AP2001.ZCE,2019-10-21,7673.0,7575.0,7707.0,7890.0,7679.0,7850.0,7810.0,275.0,235.0,491872.0,3841414.14,143724.0,-328.0
AP2001.ZCE,2019-10-22,7850.0,7810.0,7829.0,7878.0,7780.0,7876.0,7824.0,66.0,14.0,256202.0,2004572.28,147046.0,3322.0
AP2001.ZCE,2019-10-23,7876.0,7824.0,7892.0,8121.0,7854.0,7999.0,8013.0,175.0,189.0,788158.0,6315352.38,144556.0,-2490.0
AP2001.ZCE,2019-10-24,7999.0,8013.0,7992.0,8042.0,7958.0,8013.0,8002.0,0.0,-11.0,243292.0,1946802.99,143542.0,-1014.0
AP2001.ZCE,2019-10-25,8013.0,8002.0,7992.0,8045.0,7857.0,7903.0,7932.0,-99.0,-70.0,405394.0,3215466.36,140852.0,-2690.0
AP2001.ZCE,2019-10-28,7903.0,7932.0,7908.0,7925.0,7822.0,7919.0,7864.0,-13.0,-68.0,236760.0,1861976.96,140772.0,-80.0
AP2001.ZCE,2019-10-29,7919.0,7864.0,7930.0,8076.0,7878.0,7978.0,7983.0,114.0,119.0,440294.0,3514923.17,136608.0,-4164.0
AP2001.ZCE,2019-10-30,7978.0,7983.0,7978.0,8038.0,7953.0,7992.0,7991.0,9.0,8.0,208806.0,1668662.53,137346.0,738.0
AP2001.ZCE,2019-10-31,7992.0,7991.0,8004.0,8020.0,7915.0,7961.0,7966.0,-30.0,-25.0,273894.0,2181834.79,137400.0,54.0
AP2001.ZCE,2019-11-01,7961.0,7966.0,7953.0,7953.0,7808.0,7925.0,7879.0,-41.0,-87.0,318796.0,2511712.2,134482.0,-2918.0
AP2001.ZCE,2019-11-04,7925.0,7879.0,7943.0,8096.0,7880.0,8030.0,8019.0,151.0,140.0,331496.0,2658396.27,146526.0,12044.0
AP2001.ZCE,2019-11-05,8030.0,8019.0,8020.0,8181.0,8002.0,8158.0,8091.0,139.0,72.0,338780.0,2740994.63,157216.0,10690.0
AP2001.ZCE,2019-11-06,8158.0,8091.0,8165.0,8223.0,8105.0,8146.0,8162.0,55.0,71.0,319080.0,2604195.29,153628.0,-3588.0
AP2001.ZCE,2019-11-07,8146.0,8162.0,8138.0,8222.0,8082.0,8199.0,8164.0,37.0,2.0,310804.0,2537336.91,158858.0,5230.0
AP2001.ZCE,2019-11-08,8199.0,8164.0,8208.0,8215.0,8091.0,8169.0,8141.0,5.0,-23.0,297758.0,2424110.49,140960.0,-17898.0
AP2001.ZCE,2019-11-11,8169.0,8141.0,8150.0,8275.0,8065.0,8109.0,8143.0,-32.0,2.0,351756.0,2864189.94,138988.0,-1972.0
AP2001.ZCE,2019-11-12,8109.0,8143.0,8107.0,8220.0,8052.0,8219.0,8152.0,76.0,9.0,298036.0,2429507.29,147152.0,8164.0
AP2001.ZCE,2019-11-13,8219.0,8152.0,8225.0,8260.0,8165.0,8215.0,8207.0,63.0,55.0,256166.0,2102267.24,150816.0,3664.0
AP2001.ZCE,2019-11-14,8215.0,8207.0,8202.0,8249.0,8058.0,8062.0,8147.0,-145.0,-60.0,382662.0,3117687.15,152890.0,2074.0
AP2001.ZCE,2019-11-15,8062.0,8147.0,8015.0,8150.0,7969.0,8141.0,8080.0,-6.0,-67.0,297740.0,2405868.37,143842.0,-9048.0
AP2001.ZCE,2019-11-18,8141.0,8080.0,8140.0,8140.0,7883.0,7923.0,7986.0,-157.0,-94.0,384588.0,3071205.09,143870.0,28.0
AP2001.ZCE,2019-11-19,7923.0,7986.0,7910.0,7988.0,7847.0,7973.0,7926.0,-13.0,-60.0,295864.0,2344870.78,135324.0,-8546.0
AP2001.ZCE,2019-11-20,7973.0,7926.0,7976.0,8226.0,7950.0,8204.0,8088.0,278.0,162.0,379780.0,3071566.5,138618.0,3294.0
AP2001.ZCE,2019-11-21,8204.0,8088.0,8184.0,8229.0,8131.0,8181.0,8174.0,93.0,86.0,233534.0,1908879.88,135334.0,-3284.0
AP2001.ZCE,2019-11-22,8181.0,8174.0,8156.0,8225.0,8111.0,8197.0,8182.0,23.0,8.0,265856.0,2175163.37,136512.0,1178.0
AP2001.ZCE,2019-11-25,8197.0,8182.0,8210.0,8317.0,8141.0,8164.0,8227.0,-18.0,45.0,435956.0,3586574.34,128312.0,-8200.0
AP2001.ZCE,2019-11-26,8164.0,8227.0,8149.0,8199.0,8104.0,8155.0,8163.0,-72.0,-64.0,210854.0,1721301.04,125012.0,-3300.0
AP2001.ZCE,2019-11-27,8155.0,8163.0,8153.0,8189.0,8025.0,8026.0,8095.0,-137.0,-68.0,292284.0,2365927.94,128304.0,3292.0
AP2001.ZCE,2019-11-28,8026.0,8095.0,8022.0,8078.0,8011.0,8070.0,8049.0,-25.0,-46.0,181122.0,1457842.76,123246.0,-5058.0
