ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
MA1605.ZCE,2015-11-30,1652.0,1684.0,1670.0,1673.0,1622.0,1652.0,1648.0,-32.0,-36.0,1606620.0,2648270.94,439716.0,29408.0
MA1605.ZCE,2015-12-01,1687.0,1648.0,1651.0,1695.0,1641.0,1687.0,1669.0,39.0,21.0,2144352.0,3579282.13,429086.0,-10630.0
MA1605.ZCE,2015-12-02,1668.0,1669.0,1681.0,1703.0,1666.0,1668.0,1683.0,-1.0,14.0,1737922.0,2924868.11,463764.0,34678.0
MA1605.ZCE,2015-12-03,1644.0,1683.0,1665.0,1665.0,1633.0,1644.0,1647.0,-39.0,-36.0,1778536.0,2929888.4,533296.0,69532.0
MA1605.ZCE,2015-12-04,1640.0,1647.0,1649.0,1658.0,1616.0,1640.0,1641.0,-7.0,-6.0,1633858.0,2681254.75,509830.0,-23466.0
MA1605.ZCE,2015-12-07,1658.0,1641.0,1651.0,1663.0,1618.0,1658.0,1645.0,17.0,4.0,1764864.0,2903500.62,513714.0,3884.0
MA1605.ZCE,2015-12-08,1610.0,1645.0,1647.0,1653.0,1592.0,1610.0,1623.0,-35.0,-22.0,2556420.0,4147883.62,584616.0,70902.0
MA1605.ZCE,2015-12-09,1625.0,1623.0,1597.0,1633.0,1590.0,1625.0,1615.0,2.0,-8.0,1726832.0,2789140.26,547476.0,-37140.0
MA1605.ZCE,2015-12-10,1625.0,1615.0,1620.0,1630.0,1605.0,1625.0,1621.0,10.0,6.0,1363494.0,2210437.72,556712.0,9236.0
MA1605.ZCE,2015-12-11,1651.0,1621.0,1625.0,1654.0,1623.0,1651.0,1638.0,30.0,17.0,1737114.0,2845935.1,552402.0,-4310.0
MA1605.ZCE,2015-12-14,1666.0,1638.0,1645.0,1668.0,1623.0,1666.0,1645.0,28.0,7.0,1712444.0,2816323.72,543008.0,-9394.0
MA1605.ZCE,2015-12-15,1665.0,1645.0,1651.0,1690.0,1649.0,1665.0,1672.0,20.0,27.0,1837510.0,3072812.99,507378.0,-35630.0
MA1605.ZCE,2015-12-16,1671.0,1672.0,1667.0,1677.0,1660.0,1671.0,1669.0,-1.0,-3.0,1396290.0,2330437.14,502752.0,-4626.0
MA1605.ZCE,2015-12-17,1651.0,1669.0,1667.0,1686.0,1650.0,1651.0,1671.0,-18.0,2.0,1574306.0,2631187.45,512082.0,9330.0
