ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
OI1505.ZCE,2015-01-05,6008.0,6082.0,6002.0,6036.0,5950.0,6008.0,6002.0,-74.0,-80.0,42986.0,258001.31,126550.0,-58.0
OI1505.ZCE,2015-01-06,6068.0,6002.0,6094.0,6094.0,6044.0,6068.0,6066.0,66.0,64.0,30276.0,183669.17,129796.0,3246.0
OI1505.ZCE,2015-01-07,6046.0,6066.0,6072.0,6084.0,6012.0,6046.0,6044.0,-20.0,-22.0,45932.0,277606.41,126034.0,-3762.0
OI1505.ZCE,2015-01-08,6120.0,6044.0,6062.0,6178.0,6062.0,6120.0,6138.0,76.0,94.0,132832.0,815209.07,141480.0,15446.0
OI1505.ZCE,2015-01-09,6110.0,6138.0,6150.0,6158.0,6074.0,6110.0,6120.0,-28.0,-18.0,66382.0,406194.05,142922.0,1442.0
OI1505.ZCE,2015-01-12,6114.0,6120.0,6116.0,6158.0,6092.0,6114.0,6128.0,-6.0,8.0,35574.0,218004.26,141712.0,-1210.0
OI1505.ZCE,2015-01-13,6016.0,6128.0,6016.0,6050.0,6012.0,6016.0,6030.0,-112.0,-98.0,44940.0,270930.1,141856.0,144.0
OI1505.ZCE,2015-01-14,5992.0,6030.0,5994.0,6042.0,5960.0,5992.0,5994.0,-38.0,-36.0,56946.0,341264.61,141268.0,-588.0
OI1505.ZCE,2015-01-15,5946.0,5994.0,5992.0,6018.0,5934.0,5946.0,5974.0,-48.0,-20.0,102124.0,610071.18,153002.0,11734.0
OI1505.ZCE,2015-01-16,5936.0,5974.0,5920.0,5954.0,5890.0,5936.0,5922.0,-38.0,-52.0,83724.0,495831.51,154074.0,1072.0
OI1505.ZCE,2015-01-19,5948.0,5922.0,5956.0,6032.0,5842.0,5948.0,5964.0,26.0,42.0,135162.0,806171.97,154432.0,358.0
OI1505.ZCE,2015-01-20,5974.0,5964.0,5924.0,5978.0,5924.0,5974.0,5952.0,10.0,-12.0,42468.0,252708.98,158284.0,3852.0
OI1505.ZCE,2015-01-21,5976.0,5952.0,5968.0,6004.0,5926.0,5976.0,5972.0,24.0,20.0,55942.0,334093.26,156218.0,-2066.0
OI1505.ZCE,2015-01-22,5964.0,5972.0,5968.0,6000.0,5954.0,5964.0,5980.0,-8.0,8.0,39186.0,234304.41,153428.0,-2790.0
OI1505.ZCE,2015-01-23,5954.0,5980.0,5948.0,5968.0,5936.0,5954.0,5948.0,-26.0,-32.0,53202.0,316392.96,149970.0,-3458.0
OI1505.ZCE,2015-01-26,5928.0,5948.0,5926.0,5942.0,5906.0,5928.0,5922.0,-20.0,-26.0,43656.0,258500.46,145424.0,-4546.0
OI1505.ZCE,2015-01-27,5926.0,5922.0,5924.0,5988.0,5914.0,5926.0,5942.0,4.0,20.0,47744.0,283694.96,145334.0,-90.0
OI1505.ZCE,2015-01-28,5942.0,5942.0,5932.0,5954.0,5904.0,5942.0,5928.0,0.0,-14.0,45570.0,270114.28,137532.0,-7802.0
OI1505.ZCE,2015-01-29,5870.0,5928.0,5898.0,5930.0,5868.0,5870.0,5894.0,-58.0,-34.0,74492.0,439000.12,132112.0,-5420.0
OI1505.ZCE,2015-01-30,5762.0,5894.0,5800.0,5812.0,5690.0,5762.0,5752.0,-132.0,-142.0,137734.0,792198.91,146048.0,13936.0
OI1505.ZCE,2015-02-02,5762.0,5752.0,5790.0,5840.0,5754.0,5762.0,5790.0,10.0,38.0,49438.0,286262.5,139370.0,-6678.0
OI1505.ZCE,2015-02-03,5766.0,5790.0,5800.0,5810.0,5762.0,5766.0,5786.0,-24.0,-4.0,53828.0,311452.81,145554.0,6184.0
OI1505.ZCE,2015-02-04,5780.0,5786.0,5816.0,5868.0,5752.0,5780.0,5804.0,-6.0,18.0,87122.0,505548.28,133688.0,-11866.0
OI1505.ZCE,2015-02-05,5762.0,5804.0,5750.0,5808.0,5744.0,5762.0,5774.0,-42.0,-30.0,52452.0,302838.33,128870.0,-4818.0
OI1505.ZCE,2015-02-06,5794.0,5774.0,5820.0,5860.0,5780.0,5794.0,5814.0,20.0,40.0,106596.0,619595.02,127894.0,-976.0
OI1505.ZCE,2015-02-09,5780.0,5814.0,5780.0,5808.0,5764.0,5780.0,5782.0,-34.0,-32.0,32682.0,188930.23,127360.0,-534.0
OI1505.ZCE,2015-02-10,5794.0,5782.0,5776.0,5816.0,5776.0,5794.0,5796.0,12.0,14.0,28226.0,163611.53,125630.0,-1730.0
OI1505.ZCE,2015-02-11,5790.0,5796.0,5776.0,5798.0,5770.0,5790.0,5784.0,-6.0,-12.0,20630.0,119313.86,120998.0,-4632.0
OI1505.ZCE,2015-02-12,5780.0,5784.0,5786.0,5798.0,5764.0,5780.0,5776.0,-4.0,-8.0,33240.0,191974.78,112206.0,-8792.0
OI1505.ZCE,2015-02-13,5846.0,5776.0,5812.0,5866.0,5800.0,5846.0,5830.0,70.0,54.0,41894.0,244242.01,107028.0,-5178.0
OI1505.ZCE,2015-02-16,5832.0,5830.0,5876.0,5890.0,5816.0,5832.0,5840.0,2.0,10.0,19680.0,114932.78,104080.0,-2948.0
OI1505.ZCE,2015-02-17,5832.0,5840.0,5838.0,5850.0,5820.0,5832.0,5832.0,-8.0,-8.0,9868.0,57535.96,103392.0,-688.0
OI1505.ZCE,2015-02-25,5800.0,5832.0,5808.0,5816.0,5752.0,5800.0,5790.0,-32.0,-42.0,23342.0,135151.96,101190.0,-2202.0
OI1505.ZCE,2015-02-26,5836.0,5790.0,5820.0,5856.0,5812.0,5836.0,5836.0,46.0,46.0,24302.0,141823.93,103344.0,2154.0
OI1505.ZCE,2015-02-27,5966.0,5836.0,5838.0,5988.0,5824.0,5966.0,5918.0,130.0,82.0,73218.0,433314.26,91624.0,-11720.0
OI1505.ZCE,2015-03-02,6056.0,5918.0,6018.0,6068.0,5996.0,6056.0,6030.0,138.0,112.0,42536.0,256481.78,84838.0,-6786.0
OI1505.ZCE,2015-03-03,5982.0,6030.0,6022.0,6022.0,5960.0,5982.0,5986.0,-48.0,-44.0,29856.0,178689.12,82426.0,-2412.0
OI1505.ZCE,2015-03-04,5990.0,5986.0,5966.0,6020.0,5952.0,5990.0,5992.0,4.0,6.0,26568.0,159190.84,84106.0,1680.0
OI1505.ZCE,2015-03-05,5880.0,5992.0,5906.0,5910.0,5876.0,5880.0,5894.0,-112.0,-98.0,28290.0,166736.14,77230.0,-6876.0
OI1505.ZCE,2015-03-06,5842.0,5894.0,5848.0,5858.0,5826.0,5842.0,5842.0,-52.0,-52.0,25878.0,151170.26,72558.0,-4672.0
OI1505.ZCE,2015-03-09,5856.0,5842.0,5844.0,5880.0,5824.0,5856.0,5844.0,14.0,2.0,27334.0,159742.27,72262.0,-296.0
OI1505.ZCE,2015-03-10,5840.0,5844.0,5846.0,5866.0,5838.0,5840.0,5850.0,-4.0,6.0,19296.0,112882.12,67804.0,-4458.0
