ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
SM1709.ZCE,2017-04-19,5580.0,5622.0,5568.0,5744.0,5498.0,5710.0,5662.0,88.0,40.0,235716.0,667262.57,57570.0,-4.0
SM1709.ZCE,2017-04-20,5710.0,5662.0,5710.0,5832.0,5610.0,5802.0,5730.0,140.0,68.0,311248.0,891532.59,56704.0,-866.0
SM1709.ZCE,2017-04-21,5802.0,5730.0,5842.0,5980.0,5812.0,5932.0,5898.0,202.0,168.0,261018.0,769562.27,57314.0,610.0
SM1709.ZCE,2017-04-24,5932.0,5898.0,5930.0,5930.0,5760.0,5858.0,5824.0,-40.0,-74.0,229230.0,667549.06,55960.0,-1354.0
SM1709.ZCE,2017-04-25,5858.0,5824.0,5828.0,6072.0,5760.0,6058.0,5948.0,234.0,124.0,323282.0,961450.77,68718.0,12758.0
SM1709.ZCE,2017-04-26,6058.0,5948.0,6080.0,6306.0,6080.0,6268.0,6214.0,320.0,266.0,335182.0,1041217.13,76382.0,7664.0
SM1709.ZCE,2017-04-27,6268.0,6214.0,6302.0,6444.0,6212.0,6428.0,6294.0,214.0,80.0,393686.0,1238702.78,83932.0,7550.0
SM1709.ZCE,2017-04-28,6428.0,6294.0,6458.0,6466.0,6318.0,6376.0,6386.0,82.0,92.0,447828.0,1429979.79,75292.0,-8640.0
SM1709.ZCE,2017-05-02,6376.0,6386.0,6408.0,6490.0,6236.0,6280.0,6338.0,-106.0,-48.0,365556.0,1158451.09,79666.0,4374.0
SM1709.ZCE,2017-05-03,6280.0,6338.0,6302.0,6426.0,6148.0,6424.0,6264.0,86.0,-74.0,522012.0,1634699.95,87218.0,7552.0
SM1709.ZCE,2017-05-04,6424.0,6264.0,6270.0,6398.0,6030.0,6202.0,6200.0,-62.0,-64.0,991740.0,3074480.2,89066.0,1848.0
SM1709.ZCE,2017-05-05,6202.0,6200.0,6190.0,6356.0,6112.0,6308.0,6270.0,108.0,70.0,917792.0,2877299.78,93268.0,4202.0
SM1709.ZCE,2017-05-08,6308.0,6270.0,6400.0,6516.0,6342.0,6426.0,6420.0,156.0,150.0,665474.0,2135871.65,96046.0,2778.0
SM1709.ZCE,2017-05-09,6426.0,6420.0,6456.0,6486.0,6224.0,6356.0,6318.0,-64.0,-102.0,687942.0,2173115.4,99210.0,3164.0
SM1709.ZCE,2017-05-10,6356.0,6318.0,6400.0,6418.0,6256.0,6368.0,6332.0,50.0,14.0,723926.0,2291932.83,101386.0,2176.0
SM1709.ZCE,2017-05-11,6368.0,6332.0,6284.0,6376.0,6180.0,6338.0,6268.0,6.0,-64.0,801206.0,2510839.13,103196.0,1810.0
SM1709.ZCE,2017-05-12,6338.0,6268.0,6280.0,6376.0,6260.0,6354.0,6328.0,86.0,60.0,513378.0,1624210.09,103936.0,740.0
SM1709.ZCE,2017-05-15,6354.0,6328.0,6416.0,6484.0,6398.0,6428.0,6438.0,100.0,110.0,273458.0,880125.09,113178.0,9242.0
