ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
JM1509.DCE,2015-03-31,683.0,688.0,683.0,689.0,680.0,681.0,684.0,-7.0,-4.0,108384.0,445343.38,95936.0,3490.0
JM1509.DCE,2015-04-01,681.0,684.0,680.0,688.0,679.0,686.0,683.0,2.0,-1.0,77236.0,316843.92,98450.0,2514.0
JM1509.DCE,2015-04-02,686.0,683.0,685.0,689.0,677.0,677.0,682.0,-6.0,-1.0,97796.0,400414.28,115872.0,17422.0
JM1509.DCE,2015-04-03,677.0,682.0,676.0,683.0,675.0,677.0,678.0,-5.0,-4.0,105062.0,427782.54,126016.0,10144.0
JM1509.DCE,2015-04-07,677.0,678.0,676.0,678.0,672.0,675.0,674.0,-3.0,-4.0,51760.0,209514.26,133410.0,7394.0
JM1509.DCE,2015-04-08,675.0,674.0,674.0,677.0,666.0,674.0,671.0,0.0,-3.0,132836.0,534955.33,147076.0,13666.0
JM1509.DCE,2015-04-09,674.0,671.0,674.0,674.0,668.0,670.0,671.0,-1.0,0.0,64166.0,258461.62,150390.0,3314.0
JM1509.DCE,2015-04-10,670.0,671.0,668.0,670.0,658.0,661.0,662.0,-10.0,-9.0,121626.0,483525.16,169172.0,18782.0
JM1509.DCE,2015-04-13,661.0,662.0,661.0,676.0,657.0,673.0,665.0,11.0,3.0,163830.0,654511.94,158206.0,-10966.0
JM1509.DCE,2015-04-14,673.0,665.0,675.0,676.0,670.0,673.0,672.0,8.0,7.0,85848.0,346623.01,154880.0,-3326.0
JM1509.DCE,2015-04-15,673.0,672.0,674.0,674.0,666.0,669.0,670.0,-3.0,-2.0,81264.0,326685.59,162028.0,7148.0
JM1509.DCE,2015-04-16,669.0,670.0,667.0,677.0,667.0,674.0,672.0,4.0,2.0,75966.0,306322.97,156276.0,-5752.0
JM1509.DCE,2015-04-17,674.0,672.0,673.0,677.0,668.0,670.0,672.0,-2.0,0.0,79640.0,321200.36,176138.0,19862.0
JM1509.DCE,2015-04-20,670.0,672.0,670.0,670.5,650.0,654.0,657.0,-18.0,-15.0,372246.0,1467828.74,290248.0,114110.0
JM1509.DCE,2015-04-21,654.0,657.0,654.0,659.5,653.0,656.0,656.0,-1.0,-1.0,141296.0,556510.79,265914.0,-24334.0
JM1509.DCE,2015-04-22,656.0,656.0,656.5,668.0,654.5,662.5,662.5,6.5,6.5,209196.0,831705.85,266732.0,818.0
JM1509.DCE,2015-04-23,662.5,662.5,663.0,665.5,657.0,658.0,661.0,-4.5,-1.5,161474.0,640648.34,286312.0,19580.0
JM1509.DCE,2015-04-24,658.0,661.0,660.0,676.0,658.5,672.0,669.0,11.0,8.0,321790.0,1291901.2,267944.0,-18368.0
JM1509.DCE,2015-04-27,672.0,669.0,673.0,690.0,669.5,680.5,678.5,11.5,9.5,484166.0,1971585.35,262406.0,-5538.0
JM1509.DCE,2015-04-28,680.5,678.5,681.0,688.0,673.0,677.5,680.5,-1.0,2.0,245568.0,1002853.59,259562.0,-2844.0
JM1509.DCE,2015-04-29,677.5,680.5,678.5,680.0,661.5,662.5,670.0,-18.0,-10.5,327890.0,1318345.73,294876.0,35314.0
JM1509.DCE,2015-04-30,662.5,670.0,664.0,670.5,662.0,667.0,667.0,-3.0,-3.0,213850.0,855900.08,283916.0,-10960.0
JM1509.DCE,2015-05-04,667.0,667.0,665.0,676.5,651.0,671.0,667.0,4.0,0.0,251264.0,1005597.72,276528.0,-7388.0
JM1509.DCE,2015-05-05,671.0,667.0,671.0,691.0,670.0,683.0,681.0,16.0,14.0,461890.0,1888437.32,273382.0,-3146.0
JM1509.DCE,2015-05-06,683.0,681.0,684.5,688.0,677.0,681.5,682.0,0.5,1.0,347946.0,1424379.17,293968.0,20586.0
JM1509.DCE,2015-05-07,681.5,682.0,678.0,683.5,673.0,677.5,677.0,-4.5,-5.0,219524.0,891930.88,290394.0,-3574.0
JM1509.DCE,2015-05-08,677.5,677.0,677.5,698.5,675.0,687.5,687.5,10.5,10.5,757596.0,3126560.96,332530.0,42136.0
JM1509.DCE,2015-05-11,687.5,687.5,688.0,691.5,680.5,683.0,684.0,-4.5,-3.5,361604.0,1485087.28,316620.0,-15910.0
JM1509.DCE,2015-05-12,683.0,684.0,683.0,686.0,672.5,674.0,677.5,-10.0,-6.5,288220.0,1172305.39,293268.0,-23352.0
JM1509.DCE,2015-05-13,674.0,677.5,675.0,681.0,673.5,675.5,677.0,-2.0,-0.5,230106.0,934852.98,270186.0,-23082.0
JM1509.DCE,2015-05-14,675.5,677.0,677.0,680.5,662.5,672.0,671.5,-5.0,-5.5,351606.0,1416875.97,262824.0,-7362.0
JM1509.DCE,2015-05-15,672.0,671.5,673.0,675.5,669.5,673.5,673.0,2.0,1.5,187630.0,757770.47,264072.0,1248.0
JM1509.DCE,2015-05-18,673.5,673.0,673.0,677.5,670.5,671.0,673.5,-2.0,0.5,168846.0,682377.33,257440.0,-6632.0
JM1509.DCE,2015-05-19,671.0,673.5,671.0,672.5,668.5,669.0,670.5,-4.5,-3.0,115330.0,463974.67,253238.0,-4202.0
JM1509.DCE,2015-05-20,669.0,670.5,668.0,669.0,660.0,664.5,664.5,-6.0,-6.0,181244.0,722822.99,242218.0,-11020.0
JM1509.DCE,2015-05-21,664.5,664.5,665.5,678.5,665.5,676.5,672.5,12.0,8.0,214170.0,864529.76,248890.0,6672.0
