ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
AU1606.SHF,2015-11-17,228.75,226.95,227.95,228.0,223.9,224.5,225.6,-2.45,-1.35,145864.0,3291203.24,159018.0,12922.0
AU1606.SHF,2015-11-18,224.5,225.6,224.5,225.55,221.35,223.1,223.15,-2.5,-2.45,187126.0,4176091.34,164990.0,5972.0
AU1606.SHF,2015-11-19,223.1,223.15,222.85,224.6,222.0,224.4,223.35,1.25,0.2,133616.0,2984944.13,168638.0,3648.0
AU1606.SHF,2015-11-20,224.4,223.35,223.35,226.3,222.5,225.9,224.8,2.55,1.45,174986.0,3933929.56,167922.0,-716.0
AU1606.SHF,2015-11-23,225.9,224.8,225.65,226.65,222.3,222.95,224.0,-1.85,-0.8,192624.0,4315594.51,186712.0,18790.0
AU1606.SHF,2015-11-24,222.95,224.0,222.9,223.85,221.75,223.1,222.75,-0.9,-1.25,180118.0,4012140.65,192434.0,5722.0
AU1606.SHF,2015-11-25,223.1,222.75,224.0,225.75,223.7,224.95,224.9,2.2,2.15,257482.0,5790833.87,199628.0,7194.0
AU1606.SHF,2015-11-26,224.95,224.9,224.0,224.3,222.6,223.55,223.35,-1.35,-1.55,218074.0,4871172.13,208140.0,8512.0
AU1606.SHF,2015-11-27,223.55,223.35,223.4,223.9,222.2,222.95,223.15,-0.4,-0.2,139772.0,3119524.04,219492.0,11352.0
AU1606.SHF,2015-11-30,222.95,223.15,222.5,222.55,218.8,219.15,219.95,-4.0,-3.2,342424.0,7532532.3,266378.0,46886.0
AU1606.SHF,2015-12-01,219.15,219.95,219.6,224.5,219.4,224.15,222.25,4.2,2.3,293192.0,6516702.13,235026.0,-31352.0
AU1606.SHF,2015-12-02,224.15,222.25,223.45,224.35,222.3,222.9,223.2,0.65,0.95,163072.0,3640357.91,231940.0,-3086.0
AU1606.SHF,2015-12-03,222.9,223.2,222.7,222.7,218.55,220.0,220.3,-3.2,-2.9,254426.0,5605277.07,248398.0,16458.0
AU1606.SHF,2015-12-04,220.0,220.3,220.55,227.35,220.05,221.95,221.35,1.65,1.05,287942.0,6373849.05,239660.0,-8738.0
AU1606.SHF,2015-12-07,221.95,221.35,221.85,228.05,221.5,227.55,225.55,6.2,4.2,532342.0,12009018.25,252852.0,13192.0
AU1606.SHF,2015-12-08,227.55,225.55,227.05,227.35,224.05,225.3,225.65,-0.25,0.1,239974.0,5415771.45,250510.0,-2342.0
AU1606.SHF,2015-12-09,225.3,225.65,224.6,226.75,223.8,226.3,225.6,0.65,-0.05,220362.0,4971721.82,252778.0,2268.0
AU1606.SHF,2015-12-10,226.3,225.6,226.85,228.7,225.15,225.7,226.7,0.1,1.1,324392.0,7354170.04,254358.0,1580.0
AU1606.SHF,2015-12-11,225.7,226.7,225.65,226.0,224.1,225.95,225.1,-0.75,-1.6,209364.0,4713107.81,252256.0,-2102.0
AU1606.SHF,2015-12-14,225.95,225.1,224.45,228.5,224.05,226.95,226.5,1.85,1.4,353682.0,8011513.79,254626.0,2370.0
AU1606.SHF,2015-12-15,226.95,226.5,225.9,227.8,224.8,224.85,226.25,-1.65,-0.25,253672.0,5740374.21,255852.0,1226.0
AU1606.SHF,2015-12-16,224.85,226.25,225.2,226.0,224.2,225.25,225.0,-1.0,-1.25,186970.0,4207302.28,257874.0,2022.0
AU1606.SHF,2015-12-17,225.25,225.0,225.55,227.4,225.05,225.85,226.3,0.85,1.3,261370.0,5915694.0,253136.0,-4738.0
AU1606.SHF,2015-12-18,225.85,226.3,225.65,226.25,223.0,224.2,224.2,-2.1,-2.1,337284.0,7562644.1,268030.0,14894.0
AU1606.SHF,2015-12-21,224.2,224.2,224.6,227.5,223.9,227.25,225.85,3.05,1.65,275556.0,6224478.7,264734.0,-3296.0
AU1606.SHF,2015-12-22,227.25,225.85,226.95,229.4,226.55,228.75,228.4,2.9,2.55,275796.0,6299534.02,264850.0,116.0
AU1606.SHF,2015-12-23,228.75,228.4,228.4,229.3,227.4,227.7,228.15,-0.7,-0.25,179424.0,4093736.18,264502.0,-348.0
