ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
FU1702.SHF,2016-03-02,2529.0,2529.0,2405.0,2405.0,2405.0,2405.0,2405.0,-124.0,-124.0,2.0,24.05,0.0,-2.0
FU1702.SHF,2016-04-14,2211.0,2211.0,2320.0,2320.0,2320.0,2320.0,2320.0,109.0,109.0,10.0,116.0,10.0,10.0
FU1702.SHF,2016-04-18,2436.0,2436.0,2556.0,2556.0,2556.0,2556.0,2556.0,120.0,120.0,10.0,127.8,0.0,-10.0
FU1702.SHF,2016-04-27,2585.0,2585.0,2714.0,2714.0,2714.0,2714.0,2714.0,129.0,129.0,2.0,27.14,2.0,2.0
FU1702.SHF,2016-04-28,2714.0,2714.0,2666.0,2666.0,2666.0,2666.0,2666.0,-48.0,-48.0,2.0,26.66,4.0,2.0
FU1702.SHF,2016-04-29,2666.0,2666.0,2626.0,2626.0,2587.0,2587.0,2607.0,-79.0,-59.0,8.0,104.3,4.0,0.0
FU1702.SHF,2016-05-05,2607.0,2607.0,2572.0,2572.0,2563.0,2563.0,2567.0,-44.0,-40.0,8.0,102.69,4.0,0.0
FU1702.SHF,2016-05-18,2558.0,2558.0,2562.0,2562.0,2560.0,2560.0,2561.0,2.0,3.0,6.0,76.83,6.0,2.0
FU1702.SHF,2016-05-24,2561.0,2561.0,2533.0,2533.0,2433.0,2433.0,2483.0,-128.0,-78.0,4.0,49.66,6.0,0.0
FU1702.SHF,2016-05-25,2433.0,2483.0,2360.0,2607.0,2360.0,2601.0,2565.0,118.0,82.0,22.0,282.19,18.0,12.0
FU1702.SHF,2016-05-26,2601.0,2565.0,2630.0,2630.0,2576.0,2579.0,2595.0,14.0,30.0,6.0,77.85,14.0,-4.0
FU1702.SHF,2016-05-27,2579.0,2595.0,2576.0,2576.0,2471.0,2575.0,2549.0,-20.0,-46.0,8.0,101.97,10.0,-4.0
FU1702.SHF,2016-05-30,2575.0,2549.0,2553.0,2599.0,2553.0,2596.0,2579.0,47.0,30.0,8.0,103.18,8.0,-2.0
