ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
HC2001.SHF,2019-08-29,3385.0,3349.0,3385.0,3413.0,3336.0,3345.0,3378.0,-4.0,29.0,224966.0,760022.428,433430.0,16580.0
HC2001.SHF,2019-08-30,3345.0,3378.0,3359.0,3410.0,3357.0,3407.0,3383.0,29.0,5.0,307598.0,1040762.304,442756.0,9326.0
HC2001.SHF,2019-09-02,3407.0,3383.0,3403.0,3464.0,3367.0,3460.0,3412.0,77.0,29.0,369682.0,1261586.434,455388.0,12632.0
HC2001.SHF,2019-09-03,3460.0,3412.0,3450.0,3469.0,3425.0,3454.0,3449.0,42.0,37.0,247470.0,853525.012,453284.0,-2104.0
HC2001.SHF,2019-09-04,3454.0,3449.0,3450.0,3481.0,3426.0,3465.0,3457.0,16.0,8.0,281796.0,974290.356,456742.0,3458.0
HC2001.SHF,2019-09-05,3465.0,3457.0,3465.0,3497.0,3442.0,3442.0,3469.0,-15.0,12.0,455862.0,1581605.532,497356.0,40614.0
HC2001.SHF,2019-09-06,3442.0,3469.0,3441.0,3453.0,3390.0,3394.0,3431.0,-75.0,-38.0,359774.0,1234441.668,512928.0,15572.0
HC2001.SHF,2019-09-09,3394.0,3431.0,3423.0,3537.0,3420.0,3528.0,3482.0,97.0,51.0,864636.0,3011010.382,504942.0,-7986.0
HC2001.SHF,2019-09-10,3528.0,3482.0,3533.0,3552.0,3505.0,3522.0,3530.0,40.0,48.0,451970.0,1595661.042,522188.0,17246.0
HC2001.SHF,2019-09-11,3522.0,3530.0,3522.0,3537.0,3500.0,3515.0,3516.0,-15.0,-14.0,306062.0,1076270.188,526944.0,4756.0
HC2001.SHF,2019-09-12,3515.0,3516.0,3520.0,3568.0,3494.0,3568.0,3522.0,52.0,6.0,441280.0,1554498.82,504822.0,-22122.0
HC2001.SHF,2019-09-16,3568.0,3522.0,3581.0,3581.0,3540.0,3564.0,3559.0,42.0,37.0,290884.0,1035333.518,509962.0,5140.0
HC2001.SHF,2019-09-17,3564.0,3559.0,3560.0,3570.0,3516.0,3529.0,3542.0,-30.0,-17.0,309164.0,1095305.882,499622.0,-10340.0
HC2001.SHF,2019-09-18,3529.0,3542.0,3532.0,3551.0,3508.0,3510.0,3528.0,-32.0,-14.0,348692.0,1230350.956,504144.0,4522.0
HC2001.SHF,2019-09-19,3510.0,3528.0,3500.0,3506.0,3414.0,3428.0,3462.0,-100.0,-66.0,548806.0,1900372.678,491916.0,-12228.0
HC2001.SHF,2019-09-20,3428.0,3462.0,3411.0,3431.0,3384.0,3400.0,3407.0,-62.0,-55.0,418374.0,1425466.058,512558.0,20642.0
HC2001.SHF,2019-09-23,3400.0,3407.0,3400.0,3516.0,3395.0,3509.0,3459.0,102.0,52.0,540960.0,1871632.33,506114.0,-6444.0
HC2001.SHF,2019-09-24,3509.0,3459.0,3510.0,3547.0,3494.0,3501.0,3522.0,42.0,63.0,520922.0,1835051.776,519014.0,12900.0
HC2001.SHF,2019-09-25,3501.0,3522.0,3510.0,3534.0,3505.0,3511.0,3518.0,-11.0,-4.0,358970.0,1262873.24,536874.0,17860.0
HC2001.SHF,2019-09-26,3511.0,3518.0,3512.0,3528.0,3448.0,3460.0,3490.0,-58.0,-28.0,555098.0,1937841.508,536294.0,-580.0
HC2001.SHF,2019-09-27,3460.0,3490.0,3468.0,3476.0,3433.0,3443.0,3450.0,-47.0,-40.0,312858.0,1079586.824,514620.0,-21674.0
HC2001.SHF,2019-09-30,3443.0,3450.0,3445.0,3527.0,3441.0,3463.0,3480.0,13.0,30.0,451016.0,1569858.038,491384.0,-23236.0
HC2001.SHF,2019-10-08,3463.0,3480.0,3455.0,3462.0,3410.0,3416.0,3436.0,-64.0,-44.0,265062.0,910995.656,487006.0,-4378.0
HC2001.SHF,2019-10-09,3416.0,3436.0,3421.0,3441.0,3377.0,3428.0,3411.0,-8.0,-25.0,508628.0,1735097.958,511694.0,24688.0
HC2001.SHF,2019-10-10,3428.0,3411.0,3445.0,3445.0,3380.0,3399.0,3406.0,-12.0,-5.0,458314.0,1561472.582,525508.0,13814.0
HC2001.SHF,2019-10-11,3399.0,3406.0,3401.0,3403.0,3345.0,3372.0,3370.0,-34.0,-36.0,548648.0,1849429.698,588310.0,62802.0
HC2001.SHF,2019-10-14,3372.0,3370.0,3375.0,3402.0,3343.0,3344.0,3374.0,-26.0,4.0,504790.0,1703638.274,602612.0,14302.0
HC2001.SHF,2019-10-15,3344.0,3374.0,3341.0,3347.0,3294.0,3331.0,3318.0,-43.0,-56.0,505016.0,1676146.416,626914.0,24302.0
HC2001.SHF,2019-10-16,3331.0,3318.0,3341.0,3342.0,3276.0,3287.0,3314.0,-31.0,-4.0,449916.0,1491062.58,663140.0,36226.0
HC2001.SHF,2019-10-17,3287.0,3314.0,3297.0,3320.0,3277.0,3312.0,3297.0,-2.0,-17.0,360146.0,1187714.346,653902.0,-9238.0
HC2001.SHF,2019-10-18,3312.0,3297.0,3315.0,3318.0,3254.0,3300.0,3286.0,3.0,-11.0,418086.0,1374204.602,654330.0,428.0
HC2001.SHF,2019-10-21,3300.0,3286.0,3300.0,3311.0,3280.0,3285.0,3293.0,-1.0,7.0,300112.0,988298.866,654950.0,620.0
HC2001.SHF,2019-10-22,3285.0,3293.0,3290.0,3318.0,3280.0,3313.0,3302.0,20.0,9.0,326020.0,1076565.912,663734.0,8784.0
HC2001.SHF,2019-10-23,3313.0,3302.0,3318.0,3340.0,3297.0,3315.0,3321.0,13.0,19.0,357534.0,1187410.95,654664.0,-9070.0
HC2001.SHF,2019-10-24,3315.0,3321.0,3320.0,3363.0,3310.0,3356.0,3332.0,35.0,11.0,543028.0,1809790.176,672198.0,17534.0
HC2001.SHF,2019-10-25,3356.0,3332.0,3353.0,3366.0,3321.0,3360.0,3344.0,28.0,12.0,361592.0,1209426.86,653024.0,-19174.0
HC2001.SHF,2019-10-28,3360.0,3344.0,3361.0,3378.0,3333.0,3341.0,3353.0,-3.0,9.0,332886.0,1116226.956,638506.0,-14518.0
HC2001.SHF,2019-10-29,3341.0,3353.0,3336.0,3364.0,3324.0,3359.0,3344.0,6.0,-9.0,322322.0,1077959.544,644608.0,6102.0
HC2001.SHF,2019-10-30,3359.0,3344.0,3355.0,3368.0,3328.0,3365.0,3347.0,21.0,3.0,369880.0,1238209.788,637174.0,-7434.0
HC2001.SHF,2019-10-31,3365.0,3347.0,3370.0,3389.0,3344.0,3351.0,3369.0,4.0,22.0,456030.0,1536409.658,634380.0,-2794.0
