ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
RU1705.SHF,2016-11-28,18420.0,18355.0,18250.0,19615.0,18170.0,19390.0,18775.0,1035.0,420.0,626036.0,11756076.72,278848.0,40844.0
RU1705.SHF,2016-11-29,19390.0,18775.0,19260.0,19495.0,18555.0,18740.0,19115.0,-35.0,340.0,588320.0,11247872.45,279142.0,294.0
RU1705.SHF,2016-11-30,18740.0,19115.0,18785.0,18860.0,17775.0,17775.0,18215.0,-1340.0,-900.0,566424.0,10319196.58,256552.0,-22590.0
RU1705.SHF,2016-12-01,17775.0,18215.0,18090.0,18440.0,17745.0,18085.0,18135.0,-130.0,-80.0,660444.0,11978560.16,262498.0,5946.0
RU1705.SHF,2016-12-02,18085.0,18135.0,18155.0,18325.0,17360.0,18015.0,17850.0,-120.0,-285.0,641480.0,11451590.17,258762.0,-3736.0
RU1705.SHF,2016-12-05,18015.0,17850.0,18020.0,18725.0,17870.0,18590.0,18305.0,740.0,455.0,543740.0,9954482.35,270090.0,11328.0
RU1705.SHF,2016-12-06,18590.0,18305.0,18700.0,18870.0,18410.0,18565.0,18640.0,260.0,335.0,407034.0,7587499.33,268740.0,-1350.0
RU1705.SHF,2016-12-07,18565.0,18640.0,18545.0,19050.0,18420.0,19030.0,18735.0,390.0,95.0,468948.0,8786947.66,279524.0,10784.0
RU1705.SHF,2016-12-08,19030.0,18735.0,19050.0,19500.0,18505.0,18630.0,18935.0,-105.0,200.0,584688.0,11072046.15,276116.0,-3408.0
RU1705.SHF,2016-12-09,18630.0,18935.0,18720.0,19210.0,18200.0,19085.0,18665.0,150.0,-270.0,636886.0,11889129.94,278412.0,2296.0
RU1705.SHF,2016-12-12,19085.0,18665.0,19285.0,19965.0,18930.0,19345.0,19455.0,680.0,790.0,566406.0,11021729.94,265890.0,-12522.0
RU1705.SHF,2016-12-13,19345.0,19455.0,19360.0,20115.0,19250.0,20110.0,19610.0,655.0,155.0,534588.0,10484376.06,289704.0,23814.0
RU1705.SHF,2016-12-14,20110.0,19610.0,20500.0,20580.0,19780.0,20310.0,20155.0,700.0,545.0,589534.0,11883586.48,285876.0,-3828.0
RU1705.SHF,2016-12-15,20310.0,20155.0,20480.0,20520.0,19715.0,20015.0,20055.0,-140.0,-100.0,645756.0,12951240.41,271632.0,-14244.0
RU1705.SHF,2016-12-16,20015.0,20055.0,19900.0,20300.0,19600.0,19700.0,19945.0,-355.0,-110.0,469050.0,9357332.67,270992.0,-640.0
RU1705.SHF,2016-12-19,19700.0,19945.0,19645.0,19930.0,19500.0,19520.0,19715.0,-425.0,-230.0,416462.0,8212089.61,267496.0,-3496.0
RU1705.SHF,2016-12-20,19520.0,19715.0,19400.0,19470.0,18705.0,19090.0,19095.0,-625.0,-620.0,592814.0,11320758.52,262730.0,-4766.0
RU1705.SHF,2016-12-21,19090.0,19095.0,19190.0,19450.0,19000.0,19360.0,19230.0,265.0,135.0,434458.0,8356250.2,262526.0,-204.0
RU1705.SHF,2016-12-22,19360.0,19230.0,19300.0,19425.0,18485.0,18540.0,19035.0,-690.0,-195.0,482270.0,9182206.55,268276.0,5750.0
RU1705.SHF,2016-12-23,18540.0,19035.0,18530.0,18830.0,18350.0,18665.0,18615.0,-370.0,-420.0,465860.0,8673267.16,256046.0,-12230.0
RU1705.SHF,2016-12-26,18665.0,18615.0,18665.0,18755.0,17360.0,17660.0,18000.0,-955.0,-615.0,548646.0,9876761.48,255752.0,-294.0
RU1705.SHF,2016-12-27,17660.0,18000.0,17660.0,17965.0,17200.0,17930.0,17590.0,-70.0,-410.0,506572.0,8912723.0,242772.0,-12980.0
RU1705.SHF,2016-12-28,17930.0,17590.0,18010.0,18345.0,17675.0,17705.0,17975.0,115.0,385.0,491830.0,8840864.83,241916.0,-856.0
RU1705.SHF,2016-12-29,17705.0,17975.0,17785.0,18385.0,17515.0,18315.0,17985.0,340.0,10.0,494982.0,8904657.58,242236.0,320.0
RU1705.SHF,2016-12-30,18315.0,17985.0,18250.0,18450.0,17905.0,18350.0,18170.0,365.0,185.0,412746.0,7500032.69,234266.0,-7970.0
RU1705.SHF,2017-01-03,18350.0,18170.0,18380.0,18875.0,18305.0,18360.0,18635.0,190.0,465.0,352158.0,6562511.9,242004.0,7738.0
RU1705.SHF,2017-01-04,18360.0,18635.0,18455.0,18650.0,17820.0,18530.0,18265.0,-105.0,-370.0,581234.0,10618196.21,255616.0,13612.0
RU1705.SHF,2017-01-05,18530.0,18265.0,18500.0,18550.0,18070.0,18075.0,18325.0,-190.0,60.0,505940.0,9271618.69,250880.0,-4736.0
RU1705.SHF,2017-01-06,18075.0,18325.0,18110.0,18260.0,17810.0,17855.0,18015.0,-470.0,-310.0,443232.0,7984840.42,258706.0,7826.0
RU1705.SHF,2017-01-09,17855.0,18015.0,17860.0,18995.0,17825.0,18970.0,18430.0,955.0,415.0,525384.0,9684071.51,277264.0,18558.0
RU1705.SHF,2017-01-10,18970.0,18430.0,18985.0,19350.0,18870.0,19270.0,19055.0,840.0,625.0,486934.0,9279762.13,276020.0,-1244.0
RU1705.SHF,2017-01-11,19270.0,19055.0,19340.0,19635.0,19155.0,19555.0,19380.0,500.0,325.0,453522.0,8789588.39,281938.0,5918.0
RU1705.SHF,2017-01-12,19555.0,19380.0,19530.0,20475.0,19470.0,20295.0,20065.0,915.0,685.0,673560.0,13515074.03,297160.0,15222.0
RU1705.SHF,2017-01-13,20295.0,20065.0,20110.0,20620.0,20110.0,20330.0,20380.0,265.0,315.0,536300.0,10930515.59,297392.0,232.0
RU1705.SHF,2017-01-16,20330.0,20380.0,20285.0,21730.0,20240.0,21515.0,21150.0,1135.0,770.0,579418.0,12255166.87,300430.0,3038.0
RU1705.SHF,2017-01-17,21515.0,21150.0,21490.0,21760.0,20830.0,21250.0,21320.0,100.0,170.0,574236.0,12243305.15,299436.0,-994.0
RU1705.SHF,2017-01-18,21250.0,21320.0,21350.0,21595.0,20930.0,21295.0,21275.0,-25.0,-45.0,539832.0,11485077.97,298870.0,-566.0
RU1705.SHF,2017-01-19,21295.0,21275.0,21295.0,21435.0,20970.0,21155.0,21225.0,-120.0,-50.0,479118.0,10170786.02,296140.0,-2730.0
RU1705.SHF,2017-01-20,21155.0,21225.0,21110.0,21190.0,19735.0,19735.0,20450.0,-1490.0,-775.0,732102.0,14973438.66,269548.0,-26592.0
RU1705.SHF,2017-01-23,19735.0,20450.0,19785.0,20235.0,19715.0,19845.0,19955.0,-605.0,-495.0,379200.0,7567633.91,255162.0,-14386.0
