ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
SP1909.SHF,2019-05-10,5056.0,5078.0,5058.0,5094.0,5054.0,5080.0,5076.0,2.0,-2.0,44696.0,226945.964,69808.0,3208.0
SP1909.SHF,2019-05-13,5080.0,5076.0,5084.0,5164.0,5034.0,5130.0,5104.0,54.0,28.0,155824.0,795611.8,81106.0,11298.0
SP1909.SHF,2019-05-14,5130.0,5104.0,5130.0,5134.0,4922.0,5002.0,5034.0,-102.0,-70.0,217574.0,1095501.108,80356.0,-750.0
SP1909.SHF,2019-05-15,5002.0,5034.0,5008.0,5018.0,4954.0,4996.0,4984.0,-38.0,-50.0,95814.0,477677.972,82842.0,2486.0
SP1909.SHF,2019-05-16,4996.0,4984.0,4988.0,5040.0,4984.0,4996.0,5006.0,12.0,22.0,110018.0,550834.88,89542.0,6700.0
SP1909.SHF,2019-05-17,4996.0,5006.0,4998.0,5020.0,4902.0,4936.0,4976.0,-70.0,-30.0,206680.0,1028834.676,106928.0,17386.0
SP1909.SHF,2019-05-20,4936.0,4976.0,4944.0,4984.0,4916.0,4940.0,4944.0,-36.0,-32.0,105426.0,521337.776,112980.0,6052.0
SP1909.SHF,2019-05-21,4940.0,4944.0,4936.0,4976.0,4930.0,4964.0,4956.0,20.0,12.0,92782.0,459876.232,114150.0,1170.0
SP1909.SHF,2019-05-22,4964.0,4956.0,4966.0,4972.0,4862.0,4874.0,4918.0,-82.0,-38.0,150630.0,740803.66,119096.0,4946.0
SP1909.SHF,2019-05-23,4874.0,4918.0,4880.0,4904.0,4822.0,4880.0,4866.0,-38.0,-52.0,154288.0,750851.108,122512.0,3416.0
SP1909.SHF,2019-05-24,4880.0,4866.0,4886.0,4946.0,4842.0,4882.0,4904.0,16.0,38.0,222468.0,1091076.852,125454.0,2942.0
SP1909.SHF,2019-05-27,4882.0,4904.0,4884.0,4918.0,4836.0,4898.0,4882.0,-6.0,-22.0,171218.0,835994.84,126110.0,656.0
SP1909.SHF,2019-05-28,4898.0,4882.0,4850.0,4940.0,4830.0,4900.0,4902.0,18.0,20.0,207124.0,1015687.16,136322.0,10212.0
SP1909.SHF,2019-05-29,4900.0,4902.0,4900.0,4964.0,4894.0,4934.0,4928.0,32.0,26.0,265480.0,1308625.46,148118.0,11796.0
SP1909.SHF,2019-05-30,4934.0,4928.0,4940.0,4942.0,4852.0,4866.0,4902.0,-62.0,-26.0,223858.0,1097629.212,158982.0,10864.0
SP1909.SHF,2019-05-31,4866.0,4902.0,4876.0,4890.0,4834.0,4844.0,4866.0,-58.0,-36.0,196420.0,955923.904,167998.0,9016.0
SP1909.SHF,2019-06-03,4844.0,4866.0,4846.0,4848.0,4650.0,4682.0,4744.0,-184.0,-122.0,325166.0,1542620.616,181726.0,13728.0
SP1909.SHF,2019-06-04,4682.0,4744.0,4698.0,4720.0,4674.0,4702.0,4698.0,-42.0,-46.0,159250.0,748424.476,176078.0,-5648.0
SP1909.SHF,2019-06-05,4702.0,4698.0,4702.0,4708.0,4638.0,4644.0,4676.0,-54.0,-22.0,183316.0,857233.196,197878.0,21800.0
SP1909.SHF,2019-06-06,4644.0,4676.0,4638.0,4662.0,4534.0,4584.0,4598.0,-92.0,-78.0,276706.0,1272370.352,188398.0,-9480.0
SP1909.SHF,2019-06-10,4584.0,4598.0,4598.0,4632.0,4578.0,4604.0,4602.0,6.0,4.0,122278.0,562736.632,195468.0,7070.0
SP1909.SHF,2019-06-11,4604.0,4602.0,4598.0,4668.0,4592.0,4656.0,4634.0,54.0,32.0,206874.0,958901.54,191320.0,-4148.0
SP1909.SHF,2019-06-12,4656.0,4634.0,4660.0,4664.0,4564.0,4572.0,4604.0,-62.0,-30.0,205266.0,945165.764,208168.0,16848.0
SP1909.SHF,2019-06-13,4572.0,4604.0,4562.0,4620.0,4552.0,4590.0,4590.0,-14.0,-14.0,193096.0,886537.088,215134.0,6966.0
SP1909.SHF,2019-06-14,4590.0,4590.0,4600.0,4616.0,4560.0,4568.0,4588.0,-22.0,-2.0,159946.0,733833.8,223322.0,8188.0
SP1909.SHF,2019-06-17,4568.0,4588.0,4558.0,4592.0,4520.0,4570.0,4562.0,-18.0,-26.0,204668.0,933998.144,232360.0,9038.0
SP1909.SHF,2019-06-18,4570.0,4562.0,4562.0,4606.0,4536.0,4562.0,4574.0,0.0,12.0,239182.0,1094147.624,250586.0,18226.0
SP1909.SHF,2019-06-19,4562.0,4574.0,4572.0,4634.0,4554.0,4564.0,4590.0,-10.0,16.0,366840.0,1683971.276,282164.0,31578.0
SP1909.SHF,2019-06-20,4564.0,4590.0,4556.0,4566.0,4524.0,4536.0,4546.0,-54.0,-44.0,319152.0,1451271.36,324238.0,42074.0
SP1909.SHF,2019-06-21,4536.0,4546.0,4522.0,4548.0,4472.0,4524.0,4516.0,-22.0,-30.0,414826.0,1873411.192,334404.0,10166.0
SP1909.SHF,2019-06-24,4524.0,4516.0,4532.0,4582.0,4502.0,4560.0,4546.0,44.0,30.0,350588.0,1594160.144,338956.0,4552.0
SP1909.SHF,2019-06-25,4560.0,4546.0,4550.0,4628.0,4548.0,4584.0,4588.0,38.0,42.0,488226.0,2240837.692,334162.0,-4794.0
SP1909.SHF,2019-06-26,4584.0,4588.0,4588.0,4596.0,4534.0,4558.0,4564.0,-30.0,-24.0,311712.0,1422931.364,342026.0,7864.0
SP1909.SHF,2019-06-27,4558.0,4564.0,4560.0,4594.0,4526.0,4542.0,4560.0,-22.0,-4.0,342370.0,1561510.524,345110.0,3084.0
SP1909.SHF,2019-06-28,4542.0,4560.0,4534.0,4710.0,4510.0,4652.0,4616.0,92.0,56.0,862008.0,3979178.436,345720.0,610.0
SP1909.SHF,2019-07-01,4652.0,4616.0,4658.0,4740.0,4630.0,4712.0,4682.0,96.0,66.0,645622.0,3023935.316,342282.0,-3438.0
SP1909.SHF,2019-07-02,4712.0,4682.0,4712.0,4744.0,4656.0,4734.0,4696.0,52.0,14.0,458638.0,2154517.812,334326.0,-7956.0
SP1909.SHF,2019-07-03,4734.0,4696.0,4734.0,4766.0,4676.0,4722.0,4718.0,26.0,22.0,555380.0,2620475.728,314448.0,-19878.0
SP1909.SHF,2019-07-04,4722.0,4718.0,4730.0,4878.0,4712.0,4808.0,4804.0,90.0,86.0,1004556.0,4826598.692,304560.0,-9888.0
SP1909.SHF,2019-07-05,4808.0,4804.0,4812.0,4854.0,4772.0,4790.0,4814.0,-14.0,10.0,548258.0,2640182.708,281802.0,-22758.0
SP1909.SHF,2019-07-08,4790.0,4814.0,4806.0,4838.0,4688.0,4702.0,4764.0,-112.0,-50.0,553622.0,2637841.856,268520.0,-13282.0
SP1909.SHF,2019-07-09,4702.0,4764.0,4706.0,4720.0,4528.0,4534.0,4628.0,-230.0,-136.0,641804.0,2971433.632,253456.0,-15064.0
SP1909.SHF,2019-07-10,4534.0,4628.0,4536.0,4576.0,4460.0,4548.0,4528.0,-80.0,-100.0,476776.0,2158975.448,260356.0,6900.0
