strategy,eval_date,product_vt_symbol,predicted_product_suitability_probability,ai_rank,selection_role,source_score_type
ai_top10_plus_fu_official_live_v1,2026-07-31,jm.DCE,0.6958488939899317,1,model_ranked,stage182_promoted_ai_probability_top10_plus_fixed_fu
ai_top10_plus_fu_official_live_v1,2026-07-31,si.GFEX,0.6603401946739426,2,model_ranked,stage182_promoted_ai_probability_top10_plus_fixed_fu
ai_top10_plus_fu_official_live_v1,2026-07-31,SA.CZCE,0.645588723380868,3,model_ranked,stage182_promoted_ai_probability_top10_plus_fixed_fu
ai_top10_plus_fu_official_live_v1,2026-07-31,au.SHFE,0.6287311070404366,4,model_ranked,stage182_promoted_ai_probability_top10_plus_fixed_fu
ai_top10_plus_fu_official_live_v1,2026-07-31,lc.GFEX,0.6202518246604328,5,model_ranked,stage182_promoted_ai_probability_top10_plus_fixed_fu
ai_top10_plus_fu_official_live_v1,2026-07-31,cu.SHFE,0.6186696080240275,6,model_ranked,stage182_promoted_ai_probability_top10_plus_fixed_fu
ai_top10_plus_fu_official_live_v1,2026-07-31,SM.CZCE,0.6159066164169934,7,model_ranked,stage182_promoted_ai_probability_top10_plus_fixed_fu
ai_top10_plus_fu_official_live_v1,2026-07-31,lh.DCE,0.5773374644183717,8,model_ranked,stage182_promoted_ai_probability_top10_plus_fixed_fu
ai_top10_plus_fu_official_live_v1,2026-07-31,MA.CZCE,0.527458176391196,9,model_ranked,stage182_promoted_ai_probability_top10_plus_fixed_fu
ai_top10_plus_fu_official_live_v1,2026-07-31,OI.CZCE,0.5235300401717156,10,model_ranked,stage182_promoted_ai_probability_top10_plus_fixed_fu
ai_top10_plus_fu_official_live_v1,2026-07-31,fu.SHFE,0.5235290401717155,11,fixed_fu,stage182_promoted_ai_probability_top10_plus_fixed_fu
