diagnostic_index,datetime,date,product_vt_symbol,old_contract_vt_symbol,target_contract_vt_symbol,direction,risk_mode,target_am_inited,history_mode,history_source,history_input_ready,history_input_reason,observed_bar_count,required_bar_count,target_observed_bar_count,old_contract_observed_bar_count,source_observed_bar_count,roll_adjustment_ratio,target_bar_appended,same_day_bar_ready,market_data_ready,metadata_ready,target_contract_size,target_price_tick,target_margin_ratio,bullish_alignment,bearish_alignment,macd_hist,previous_volume,selected_volume_before_exact_gate,final_volume,volume_policy,volume_outcome,was_reduced,status,reason,profile,start_month,variant,account_capital,c3_capital,fill_status,fill_trade_id,fill_datetime,fill_volume
1,2018-08-16 00:00:00+08:00,2018-08-16,SM.CZCE,SM809.CZCE,SM901.CZCE,long,open_interest_decline,0,target_contract_only,target_contract_observed,1,ready,1,40,1,41,1,1.0,0,1,1,1,5,2.0,0.12,0,0,,7,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,,,,0
2,2018-12-13 00:00:00+08:00,2018-12-13,jm.DCE,jm1901.DCE,jm1905.DCE,long,open_interest_decline,0,target_contract_only,target_contract_observed,1,ready,1,40,1,41,1,1.0,0,1,1,1,60,0.5,0.2,0,0,,2,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,,,,0
3,2019-04-04 00:00:00+08:00,2019-04-04,hc.SHFE,hc1905.SHFE,hc1910.SHFE,long,regular,0,target_contract_only,target_contract_observed,1,ready,1,40,1,41,1,1.0,0,1,1,1,10,1.0,0.1,0,0,,3,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,,,,0
4,2019-04-12 00:00:00+08:00,2019-04-12,AP.CZCE,AP905.CZCE,AP910.CZCE,long,regular,0,target_contract_only,target_contract_observed,1,ready,1,40,1,41,1,1.0,0,1,1,1,10,1.0,0.12,0,0,,1,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,,,,0
5,2019-08-09 00:00:00+08:00,2019-08-09,CF.CZCE,CF909.CZCE,CF001.CZCE,short,regular,0,target_contract_only,target_contract_observed,1,ready,1,40,1,41,1,1.0,0,1,1,1,5,5.0,0.12,0,0,,5,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,,,,0
6,2019-12-17 00:00:00+08:00,2019-12-17,AP.CZCE,AP001.CZCE,AP005.CZCE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,1.0,0.12,0,0,71.74592647383166,5,0,0,shrink_to_allowed,skipped,0,skipped,shape_or_macd_not_aligned,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,,,,0
7,2019-12-17 00:00:00+08:00,2019-12-17,SM.CZCE,SM001.CZCE,SM005.CZCE,long,open_interest_decline,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,5,2.0,0.12,1,0,56.885785279226596,5,16,5,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,filled,BACKTESTING.154,2019-12-18 00:00:00+08:00,5
8,2020-06-19 00:00:00+08:00,2020-06-19,cu.SHFE,cu2007.SHFE,cu2008.SHFE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,5,10.0,0.12,1,0,210.11773265362876,1,2,1,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,filled,BACKTESTING.215,2020-06-22 00:00:00+08:00,1
9,2020-08-11 00:00:00+08:00,2020-08-11,FG.CZCE,FG009.CZCE,FG101.CZCE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,20,1.0,0.12,1,0,29.212703436976824,13,24,13,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,filled,BACKTESTING.240,2020-08-12 00:00:00+08:00,13
10,2020-09-02 00:00:00+08:00,2020-09-02,hc.SHFE,hc2010.SHFE,hc2101.SHFE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,1.0,0.1,1,0,9.148597363855203,23,41,23,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,filled,BACKTESTING.255,2020-09-03 00:00:00+08:00,23
11,2020-12-02 00:00:00+08:00,2020-12-02,ru.SHFE,ru2101.SHFE,ru2105.SHFE,long,open_interest_decline,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,5.0,0.12,1,0,179.6005390961443,6,8,6,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,filled,BACKTESTING.297,2020-12-03 00:00:00+08:00,6
12,2021-08-09 00:00:00+08:00,2021-08-09,ru.SHFE,ru2109.SHFE,ru2201.SHFE,long,open_interest_decline,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,5.0,0.12,1,0,85.31153966207023,21,32,21,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,filled,BACKTESTING.383,2021-08-10 00:00:00+08:00,21
13,2021-11-24 00:00:00+08:00,2021-11-24,ru.SHFE,ru2201.SHFE,ru2205.SHFE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,5.0,0.12,1,0,220.68295747471103,37,59,37,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,filled,BACKTESTING.426,2021-11-25 00:00:00+08:00,37
14,2022-03-31 00:00:00+08:00,2022-03-31,hc.SHFE,hc2205.SHFE,hc2210.SHFE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,1.0,0.1,1,0,34.51180777802119,104,116,104,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,filled,BACKTESTING.484,2022-04-01 00:00:00+08:00,104
15,2022-12-14 00:00:00+08:00,2022-12-14,lh.DCE,lh2301.DCE,lh2303.DCE,short,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,16,5.0,0.12,0,1,-369.21579153553637,15,50,15,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,filled,BACKTESTING.539,2022-12-15 00:00:00+08:00,15
16,2023-07-19 00:00:00+08:00,2023-07-19,SM.CZCE,SM309.CZCE,SM310.CZCE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,5,2.0,0.12,1,0,34.546039586144516,299,180,180,shrink_to_allowed,reduced,1,targeted,reduced_to_allowed_volume,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,filled,BACKTESTING.581,2023-07-20 00:00:00+08:00,180
17,2024-08-06 00:00:00+08:00,2024-08-06,lh.DCE,lh2409.DCE,lh2411.DCE,long,open_interest_decline,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,16,5.0,0.12,0,0,52.13836515962924,30,0,0,shrink_to_allowed,skipped,0,skipped,shape_or_macd_not_aligned,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,,,,0
18,2024-12-16 00:00:00+08:00,2024-12-16,si.GFEX,si2501.GFEX,si2502.GFEX,short,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,5,5.0,0.12,0,1,-67.22506683433835,380,409,380,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,filled,BACKTESTING.702,2024-12-17 00:00:00+08:00,380
19,2025-02-13 00:00:00+08:00,2025-02-13,fu.SHFE,fu2503.SHFE,fu2505.SHFE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,1.0,0.15,1,0,-17.311000092518583,480,0,0,shrink_to_allowed,skipped,0,skipped,shape_or_macd_not_aligned,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,,,,0
20,2025-04-03 00:00:00+08:00,2025-04-03,ru.SHFE,ru2505.SHFE,ru2509.SHFE,short,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,5.0,0.12,0,1,-133.44494090528246,59,87,59,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,filled,BACKTESTING.729,2025-04-07 00:00:00+08:00,59
21,2025-04-15 00:00:00+08:00,2025-04-15,AP.CZCE,AP505.CZCE,AP510.CZCE,long,volume_open_interest_surge,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,1.0,0.12,0,0,44.21849205062072,283,0,0,shrink_to_allowed,skipped,0,skipped,shape_or_macd_not_aligned,stage003_B_target_history_40_shrink,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,,,,0
