window_id,window_group,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,A_end_equity,C_end_equity,A_return_pct,C_return_pct,delta_return_pct,A_max_dd_pct,C_max_dd_pct,dd_worsening_pp,A_sharpe,C_sharpe,delta_sharpe,A_slippage,C_slippage,A_trades,C_trades,A_win_rate_pct,C_win_rate_pct,A_survival_pass,C_survival_pass,A_broker100_pass,C_broker100_pass,return_win,C_positive,A_positive,dd_noninferior_2pp,sharpe_noninferior_005,A_dd40_fail,C_dd40_fail,A_dd50_fail,C_dd50_fail
full_2018_2026,full_period,0,2018-01-01,2026-05-29,1,0,13071214.100000009,13338365.80000001,8614.14273333334,8792.243866666673,178.10113333333356,-56.206935956180295,-56.98762835543509,0.7806923992547965,1.362230340211364,1.3626692370353988,0.0004388968240347513,1525590.0,1517200.0,808,825,52.58408531583265,52.68115942028986,1,1,1,0,1,1,1,1,1,1,1,1,1
roll_1y_2018_01,rolling_1y,1,2018-01-01,2018-12-31,1,0,144120.40000000002,134950.40000000002,-3.9197333333333195,-10.033066666666645,-6.113333333333326,-15.640773516879747,-15.640773516879747,0.0,-0.15915438850052527,-0.5062719888985959,-0.34711760039807066,3880.0,4040.0,58,61,41.25,43.08943089430895,1,1,1,1,0,0,0,1,0,0,0,0,0
roll_1y_2018_06,rolling_1y,1,2018-06-01,2019-05-31,1,0,141112.00000000006,164729.50000000006,-5.925333333333294,9.819666666666716,15.74500000000001,-16.953589712862318,-16.986383722698307,0.0327940098359889,-0.1643171082440383,0.4956180158993039,0.6599351241433422,5230.0,5710.0,76,82,44.565217391304344,50.53191489361703,1,1,1,1,1,1,0,1,1,0,0,0,0
roll_1y_2019_01,rolling_1y,1,2019-01-01,2019-12-31,1,0,211737.40000000002,221461.30000000002,41.15826666666669,47.64086666666667,6.482599999999977,-21.571317026531755,-16.225888917544474,0.0,1.3381936992229728,1.3980719500734629,0.059878250850490033,7840.0,8330.0,103,110,50.0,51.776649746192895,1,1,1,1,1,1,1,1,1,0,0,0,0
roll_1y_2019_06,rolling_1y,1,2019-06-01,2020-05-31,1,0,247266.99999999997,232477.0,64.84466666666664,54.98466666666666,-9.859999999999978,-8.304857291081602,-11.413532754878297,3.108675463796695,2.186475917278989,1.845484058904438,-0.34099185837455104,10130.0,9410.0,103,106,54.77707006369427,55.61224489795919,1,1,1,1,0,1,1,0,0,0,0,0,0
roll_1y_2020_01,rolling_1y,1,2020-01-01,2020-12-31,1,0,318817.80000000005,325719.00000000006,112.54520000000001,117.14600000000002,4.600800000000007,-23.75193654357982,-23.636001135476747,0.0,2.0933046849781793,2.14711241457162,0.05380772959344071,15590.0,15490.0,134,134,57.43589743589743,57.43589743589743,1,1,1,1,1,1,1,1,1,0,0,0,0
roll_1y_2020_06,rolling_1y,1,2020-06-01,2021-05-31,1,0,777722.1000000001,752293.6000000001,418.4814,401.5290666666667,-16.952333333333286,-23.768711883200886,-23.321562872603863,0.0,3.2335500297254445,3.1303391762128125,-0.10321085351263193,16690.0,17310.0,134,137,61.46341463414634,59.90338164251207,1,1,1,1,0,1,1,1,0,0,0,0,0
roll_1y_2021_01,rolling_1y,1,2021-01-01,2021-12-31,1,0,840606.0,850486.0,460.40400000000005,466.9906666666667,6.586666666666645,-27.47227673070779,-27.920329567753456,0.44805283704566534,2.9185368952062607,2.9357406785682065,0.017203783361945835,22450.0,22350.0,125,125,58.70646766169154,58.2089552238806,1,1,1,1,1,1,1,1,1,0,0,0,0
roll_1y_2021_06,rolling_1y,1,2021-06-01,2022-05-31,1,0,215060.0,211470.0,43.37333333333333,40.98,-2.393333333333331,-35.228744390567115,-36.895347796246014,1.6666034056788988,0.977666868584407,0.9389723355353579,-0.03869453304904913,9140.0,9300.0,137,137,50.24875621890548,50.24875621890548,1,1,1,1,0,1,1,1,1,0,0,0,0
roll_1y_2022_01,rolling_1y,1,2022-01-01,2022-12-31,1,0,127070.0,135180.0,-15.28666666666667,-9.879999999999999,5.406666666666672,-35.78589221702412,-37.07394130870648,1.2880490916823604,-0.14903791065849142,0.028392603208951855,0.17743051386744327,3420.0,3620.0,76,76,39.83739837398374,39.83739837398374,1,1,1,1,1,0,0,1,1,0,0,0,0
