comparison,duration_years,start_cohort,window_count,return_win_count,return_win_rate_pct,median_return_delta_pct,left_positive_count,right_positive_count,left_worst_return_pct,right_worst_return_pct,dd_noninferior_2pp_count,dd_noninferior_2pp_rate_pct,left_dd40_fail_count,right_dd40_fail_count,left_dd50_fail_count,right_dd50_fail_count,sharpe_noninferior_005_count,sharpe_noninferior_005_rate_pct,left_slippage,right_slippage,slippage_ratio,left_trades,right_trades,all_right_survival,left_broker100_fail_count,right_broker100_fail_count
A_vs_C,1,combined,15,9,60.0,1.6266666666666652,10,11,-15.28666666666667,-10.033066666666643,14,93.33333333333333,1,1,0,0,10,66.66666666666666,124030.0,126250.0,1.0178988954285253,1334,1370,1,0,0
A_vs_C,1,january,8,7,87.5,5.003733333333345,5,5,-15.28666666666667,-10.033066666666643,8,100.0,0,0,0,0,7,87.5,68600.0,70220.0,1.0236151603498542,693,711,1,0,0
A_vs_C,1,june,7,2,28.57142857142857,-2.393333333333331,5,6,-5.925333333333294,-3.313333333333335,6,85.71428571428571,1,1,0,0,3,42.857142857142854,55430.0,56030.0,1.0108244632870287,641,659,1,0,0
A_vs_C,2,combined,13,7,53.84615384615385,0.7866666666666333,12,12,-9.326666666666672,-12.61,10,76.92307692307693,4,5,1,2,10,76.92307692307693,410700.0,410550.0,0.9996347699050402,2538,2581,1,0,0
A_vs_C,2,january,7,4,57.14285714285714,0.7866666666666333,6,6,-9.326666666666672,-12.61,5,71.42857142857143,1,2,0,0,6,85.71428571428571,214930.0,217960.0,1.014097613176383,1329,1353,1,0,0
A_vs_C,2,june,6,3,50.0,0.4166666666666661,6,6,18.28000000000001,21.540000000000003,5,83.33333333333334,3,3,1,2,4,66.66666666666666,195770.0,192590.0,0.9837564488941104,1209,1228,1,0,0
A_vs_C,3,combined,11,7,63.63636363636363,7.5663333333333185,11,11,46.636666666666684,45.416666666666686,9,81.81818181818183,6,7,4,4,9,81.81818181818183,933060.0,944780.0,1.0125608213834052,3354,3405,1,0,0
A_vs_C,3,january,6,3,50.0,3.17316666666666,6,6,46.636666666666684,45.416666666666686,5,83.33333333333334,2,3,1,1,5,83.33333333333334,499480.0,496020.0,0.9930727957075358,1783,1810,1,0,0
A_vs_C,3,june,5,4,80.0,13.896666666666675,5,5,87.87333333333333,93.97333333333331,4,80.0,4,4,3,3,4,80.0,433580.0,448760.0,1.0350108399833942,1571,1595,1,0,0
A_vs_P,1,combined,15,5,33.33333333333333,-1.6433333333333522,10,11,-15.28666666666667,-19.01333333333334,10,66.66666666666666,1,1,0,0,9,60.0,124030.0,123330.0,0.9943562041441587,1334,1357,1,0,0
A_vs_P,1,january,8,4,50.0,1.4683333333333421,5,5,-15.28666666666667,-19.01333333333334,7,87.5,0,0,0,0,6,75.0,68600.0,67780.0,0.9880466472303207,693,705,1,0,0
A_vs_P,1,june,7,1,14.285714285714285,-3.6000000000000028,5,6,-5.925333333333294,-6.9133333333333375,3,42.857142857142854,1,1,0,0,3,42.857142857142854,55430.0,55550.0,1.0021648926574058,641,652,1,0,0
A_vs_P,2,combined,13,8,61.53846153846154,3.7166666666666615,12,12,-9.326666666666672,-14.490000000000002,11,84.61538461538461,4,3,1,1,10,76.92307692307693,410700.0,386720.0,0.9416118821524226,2538,2573,1,0,0
A_vs_P,2,january,7,5,71.42857142857143,3.7166666666666615,6,6,-9.326666666666672,-14.490000000000002,6,85.71428571428571,1,1,0,0,6,85.71428571428571,214930.0,205670.0,0.9569162052761364,1329,1349,1,0,0
A_vs_P,2,june,6,3,50.0,3.601633333333325,6,6,18.28000000000001,38.913333333333334,5,83.33333333333334,3,2,1,1,4,66.66666666666666,195770.0,181050.0,0.9248097256985238,1209,1224,1,0,0
A_vs_P,3,combined,11,6,54.54545454545454,9.249999999999986,11,11,46.636666666666684,39.62333333333334,9,81.81818181818183,6,7,4,1,10,90.9090909090909,933060.0,858520.0,0.9201123186075922,3354,3386,1,0,0
A_vs_P,3,january,6,2,33.33333333333333,-8.155000000000026,6,6,46.636666666666684,39.62333333333334,5,83.33333333333334,2,3,1,0,5,83.33333333333334,499480.0,458940.0,0.9188355890125731,1783,1797,1,0,0
A_vs_P,3,june,5,4,80.0,24.74333333333334,5,5,87.87333333333333,97.12333333333332,4,80.0,4,4,3,1,5,100.0,433580.0,399580.0,0.9215830988514231,1571,1589,1,0,0
C_vs_P,1,combined,15,8,53.333333333333336,0.0,11,11,-10.033066666666643,-19.01333333333334,13,86.66666666666667,1,1,0,0,11,73.33333333333333,126250.0,123330.0,0.9768712871287129,1370,1357,1,0,0
C_vs_P,1,january,8,4,50.0,-0.9133333333333327,5,5,-10.033066666666643,-19.01333333333334,7,87.5,0,0,0,0,5,62.5,70220.0,67780.0,0.9652520649387639,711,705,1,0,0
C_vs_P,1,june,7,4,57.14285714285714,0.0,6,6,-3.313333333333335,-6.9133333333333375,6,85.71428571428571,1,1,0,0,6,85.71428571428571,56030.0,55550.0,0.9914331608067107,659,652,1,0,0
C_vs_P,2,combined,13,7,53.84615384615385,1.0666666666666558,12,12,-12.61,-14.490000000000002,12,92.3076923076923,5,3,2,1,12,92.3076923076923,410550.0,386720.0,0.9419559127999025,2581,2573,1,0,0
C_vs_P,2,january,7,3,42.857142857142854,-0.12666666666667226,6,6,-12.61,-14.490000000000002,7,100.0,2,1,0,0,7,100.0,217960.0,205670.0,0.9436135070655166,1353,1349,1,0,0
C_vs_P,2,june,6,4,66.66666666666666,4.6499999999999915,6,6,21.540000000000003,38.913333333333334,5,83.33333333333334,3,2,2,1,5,83.33333333333334,192590.0,181050.0,0.9400799626148814,1228,1224,1,0,0
C_vs_P,3,combined,11,8,72.72727272727273,10.846666666666664,11,11,45.416666666666686,39.62333333333334,10,90.9090909090909,7,7,4,1,11,100.0,944780.0,858520.0,0.9086983213023138,3405,3386,1,0,0
C_vs_P,3,january,6,4,66.66666666666666,8.204333333333366,6,6,45.416666666666686,39.62333333333334,6,100.0,3,3,1,0,6,100.0,496020.0,458940.0,0.9252449498004113,1810,1797,1,0,0
C_vs_P,3,june,5,4,80.0,10.846666666666664,5,5,93.97333333333331,97.12333333333332,4,80.0,4,4,3,1,5,100.0,448760.0,399580.0,0.8904091273732062,1595,1589,1,0,0
A_vs_Q,1,combined,15,5,33.33333333333333,-1.6433333333333522,10,11,-15.28666666666667,-19.01333333333334,10,66.66666666666666,1,1,0,0,9,60.0,124030.0,123330.0,0.9943562041441587,1334,1357,1,0,0
A_vs_Q,1,january,8,4,50.0,1.4683333333333421,5,5,-15.28666666666667,-19.01333333333334,7,87.5,0,0,0,0,6,75.0,68600.0,67780.0,0.9880466472303207,693,705,1,0,0
