variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm,experiment_arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm
stage028_A_formal_q_immediate_backadjusted,A: 当前正式 Q（立即换月、旧主力复权历史）,stage028_A_formal_q_immediate_backadjusted,full_2018_2026,2018-01-01 independent start to 2026-08-25,full_period,2018-01-02,2026-08-25,150000.0,150000.0,0.4,2098,14989515.100000003,9893.01006666667,70.35521262059665,-44.9033186039274,19.333398923335317,1.4685554601682669,128689.99999999996,99.6724041790796,59.28110957315505,0,2,0,1741690.0,846.0,52.67284390591589,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,14989515.100000003,9893.01006666667,70.35521262059665,-44.9033186039274,1.4685554601682669,128689.99999999996,99.6724041790796,59.28110957315505,99.93010066666668,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,0,stage028_A_formal_q_immediate_backadjusted,A,full_2018_2026,0,2018-01-01,2026-08-25,1,0,A
stage028_B_stage027_target_only_immediate,B: Stage027（立即换月、新主力自身K线）,stage028_B_stage027_target_only_immediate,full_2018_2026,2018-01-01 independent start to 2026-08-25,full_period,2018-01-02,2026-08-25,150000.0,150000.0,0.4,2098,13868439.900000006,9145.626600000003,68.82997536305817,-47.984346958977994,21.13890517830326,1.418928901193489,115585.20000000004,87.7838102082086,60.99725926154661,0,0,0,1685830.0,834.0,52.62738853503185,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,13868439.900000006,9145.626600000003,68.82997536305817,-47.984346958977994,1.418928901193489,115585.20000000004,87.7838102082086,60.99725926154661,92.45626600000004,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,0,stage028_B_stage027_target_only_immediate,B,full_2018_2026,0,2018-01-01,2026-08-25,1,0,B
stage028_C_target_only_delay_5td,C: Stage028（延迟5交易日、新主力自身K线）,stage028_C_target_only_delay_5td,full_2018_2026,2018-01-01 independent start to 2026-08-25,full_period,2018-01-02,2026-08-25,150000.0,150000.0,0.4,2098,15889543.300000006,10493.028866666671,71.50835228251997,-46.45064286655245,19.41491348921505,1.4377842587757124,115585.20000000004,100.3425555425912,61.52375044593738,1,2,0,1654705.0,810.0,52.82289249806651,0,0.0,0,0,0,1,0,stage772_am40_80_120_oi_monthly,15889543.300000006,10493.028866666671,71.50835228251997,-46.45064286655245,1.4377842587757124,115585.20000000004,100.3425555425912,61.52375044593738,105.93028866666673,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,0,stage028_C_target_only_delay_5td,C,full_2018_2026,0,2018-01-01,2026-08-25,1,0,C
stage029_A_roll_1y_2018_01,A: 当前正式 Q（立即换月、旧主力复权历史）,stage029_A_roll_1y_2018_01,roll_1y_2018_01,2018-01-01 independent start to 2018-12-31,rolling_1y,2018-01-02,2018-12-28,150000.0,150000.0,0.4,243,134950.40000000002,-10.033066666666643,-10.171676783300764,-15.640773516879747,9.228506463155933,-0.5062719888985959,128689.99999999996,58.662096623764235,33.33403691000097,0,0,0,4040.0,61.0,43.08943089430895,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,134950.40000000002,-10.033066666666643,-10.171676783300764,-15.640773516879747,-0.5062719888985959,128689.99999999996,58.662096623764235,33.33403691000097,0.8996693333333335,,,,,2018-01,2018-01,2018,1,0,1,1,0,0,0,stage029_A_roll_1y_2018_01,A,roll_1y_2018_01,1,2018-01-01,2018-12-31,1,0,A
stage029_B_roll_1y_2018_01,B: Stage027（立即换月、新主力自身K线）,stage029_B_roll_1y_2018_01,roll_1y_2018_01,2018-01-01 independent start to 2018-12-31,rolling_1y,2018-01-02,2018-12-28,150000.0,150000.0,0.4,243,144120.40000000002,-3.919733333333319,-3.975744532733405,-15.640773516879747,8.679469323285542,-0.1591543885005252,128689.99999999996,49.13024959305479,27.395522080017795,0,0,0,3880.0,58.0,41.25,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,144120.40000000002,-3.919733333333319,-3.975744532733405,-15.640773516879747,-0.1591543885005252,128689.99999999996,49.13024959305479,27.395522080017795,0.9608026666666668,,,,,2018-01,2018-01,2018,1,0,1,1,0,0,0,stage029_B_roll_1y_2018_01,B,roll_1y_2018_01,1,2018-01-01,2018-12-31,1,0,B
stage029_C_roll_1y_2018_01,C: Stage028（延迟5交易日、新主力自身K线）,stage029_C_roll_1y_2018_01,roll_1y_2018_01,2018-01-01 independent start to 2018-12-31,rolling_1y,2018-01-02,2018-12-28,150000.0,150000.0,0.4,243,144120.40000000002,-3.919733333333319,-3.975744532733405,-15.640773516879747,8.67792659586672,-0.1591543885005252,128689.99999999996,49.13024959305479,27.408320968145993,0,0,0,3880.0,58.0,41.25,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,144120.40000000002,-3.919733333333319,-3.975744532733405,-15.640773516879747,-0.1591543885005252,128689.99999999996,49.13024959305479,27.408320968145993,0.9608026666666668,,,,,2018-01,2018-01,2018,1,0,1,1,0,0,0,stage029_C_roll_1y_2018_01,C,roll_1y_2018_01,1,2018-01-01,2018-12-31,1,0,C
stage029_A_roll_1y_2018_06,A: 当前正式 Q（立即换月、旧主力复权历史）,stage029_A_roll_1y_2018_06,roll_1y_2018_06,2018-06-01 independent start to 2019-05-31,rolling_1y,2018-06-01,2019-05-31,150000.0,150000.0,0.4,243,164729.50000000006,9.819666666666716,9.85499771533882,-16.986383722698307,7.224083152404943,0.4956180158993039,141399.50000000006,71.1338674168689,34.182702754300415,0,0,0,5710.0,82.0,50.53191489361703,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,164729.50000000006,9.819666666666716,9.85499771533882,-16.986383722698307,0.4956180158993039,141399.50000000006,71.1338674168689,34.182702754300415,1.0981966666666672,,,,,2018-06,2018-06,2018,6,1,1,1,0,0,0,stage029_A_roll_1y_2018_06,A,roll_1y_2018_06,1,2018-06-01,2019-05-31,1,0,A
stage029_B_roll_1y_2018_06,B: Stage027（立即换月、新主力自身K线）,stage029_B_roll_1y_2018_06,roll_1y_2018_06,2018-06-01 independent start to 2019-05-31,rolling_1y,2018-06-01,2019-05-31,150000.0,150000.0,0.4,243,141112.00000000006,-5.925333333333294,-5.945064133651057,-16.953589712862318,8.180392063112347,-0.1643171082440383,139292.00000000006,68.53917629054803,34.10748517715568,0,0,0,5230.0,76.0,44.565217391304344,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,141112.00000000006,-5.925333333333294,-5.945064133651057,-16.953589712862318,-0.1643171082440383,139292.00000000006,68.53917629054803,34.10748517715568,0.9407466666666672,,,,,2018-06,2018-06,2018,6,0,1,1,0,0,0,stage029_B_roll_1y_2018_06,B,roll_1y_2018_06,1,2018-06-01,2019-05-31,1,0,B
stage029_C_roll_1y_2018_06,C: Stage028（延迟5交易日、新主力自身K线）,stage029_C_roll_1y_2018_06,roll_1y_2018_06,2018-06-01 independent start to 2019-05-31,rolling_1y,2018-06-01,2019-05-31,150000.0,150000.0,0.4,243,141112.00000000006,-5.925333333333294,-5.945064133651057,-16.953589712862318,8.177951424340566,-0.164301165624357,139292.00000000006,68.53917629054803,34.10748517715568,0,0,0,5230.0,76.0,44.086021505376344,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,141112.00000000006,-5.925333333333294,-5.945064133651057,-16.953589712862318,-0.164301165624357,139292.00000000006,68.53917629054803,34.10748517715568,0.9407466666666672,,,,,2018-06,2018-06,2018,6,0,1,1,0,0,0,stage029_C_roll_1y_2018_06,C,roll_1y_2018_06,1,2018-06-01,2019-05-31,1,0,C
stage029_A_roll_1y_2019_01,A: 当前正式 Q（立即换月、旧主力复权历史）,stage029_A_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,223061.3,48.70753333333335,49.073740739619765,-16.225888917544474,7.840625868887713,1.4128708315628165,132956.90000000002,70.29239277156199,51.41453346152923,0,0,0,8480.0,110.0,51.776649746192895,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,223061.3,48.70753333333335,49.073740739619765,-16.225888917544474,1.4128708315628165,132956.90000000002,70.29239277156199,51.41453346152923,1.4870753333333335,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,stage029_A_roll_1y_2019_01,A,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,A
