trade_id,order_id,datetime,date,time,vt_symbol,symbol,exchange,direction,offset,price,volume,signed_volume,gateway_name,exit_reason,profile,start_month,variant,account_capital,c3_capital,experiment_arm
BACKTESTING.1,BACKTESTING.1,2018-01-15 00:00:00+08:00,2018-01-15,00:00:00,au1806.SHFE,au1806,SHFE,多,开,281.7,1.0,1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.2,BACKTESTING.2,2018-01-16 00:00:00+08:00,2018-01-16,00:00:00,rb1805.SHFE,rb1805,SHFE,空,开,3803.0,9.0,-9.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.3,BACKTESTING.2.stage847_c9.1,2018-01-16 09:03:00+08:00,2018-01-16,09:03:00,rb1805.SHFE,rb1805,SHFE,多,平,3807.0,9.0,9.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.4,BACKTESTING.2.stage847_c9.2,2018-01-16 14:27:00+08:00,2018-01-16,14:27:00,rb1805.SHFE,rb1805,SHFE,空,开,3803.0,9.0,-9.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.5,BACKTESTING.2.stage847_c9.3,2018-01-16 22:22:00+08:00,2018-01-16,22:22:00,rb1805.SHFE,rb1805,SHFE,多,平,3807.0,9.0,9.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.6,BACKTESTING.3,2018-01-19 00:00:00+08:00,2018-01-19,00:00:00,au1806.SHFE,au1806,SHFE,空,平,278.8,1.0,-1.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.7,BACKTESTING.4,2018-02-05 00:00:00+08:00,2018-02-05,00:00:00,OI805.CZCE,OI805,CZCE,空,开,6340.0,4.0,-4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.8,BACKTESTING.5,2018-02-26 00:00:00+08:00,2018-02-26,00:00:00,OI805.CZCE,OI805,CZCE,多,平,6348.0,4.0,4.0,BACKTESTING,short_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.9,BACKTESTING.6,2018-02-28 00:00:00+08:00,2018-02-28,00:00:00,hc1805.SHFE,hc1805,SHFE,多,开,4089.0,7.0,7.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.10,BACKTESTING.7,2018-03-01 00:00:00+08:00,2018-03-01,00:00:00,rb1805.SHFE,rb1805,SHFE,多,开,4017.0,3.0,3.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.11,BACKTESTING.8,2018-03-02 00:00:00+08:00,2018-03-02,00:00:00,au1806.SHFE,au1806,SHFE,空,开,270.95,1.0,-1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.12,BACKTESTING.8.stage847_c9.1,2018-03-02 00:46:00+08:00,2018-03-02,00:46:00,au1806.SHFE,au1806,SHFE,多,平,271.85,1.0,1.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.13,BACKTESTING.8.stage847_c9.2,2018-03-02 02:29:00+08:00,2018-03-02,02:29:00,au1806.SHFE,au1806,SHFE,空,开,270.95,1.0,-1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.14,BACKTESTING.8.stage847_c9.3,2018-03-02 09:00:00+08:00,2018-03-02,09:00:00,au1806.SHFE,au1806,SHFE,多,平,271.85,1.0,1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.15,BACKTESTING.9,2018-03-06 00:00:00+08:00,2018-03-06,00:00:00,hc1805.SHFE,hc1805,SHFE,空,平,4046.0,7.0,-7.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.16,BACKTESTING.10,2018-03-06 00:00:00+08:00,2018-03-06,00:00:00,rb1805.SHFE,rb1805,SHFE,空,平,3948.0,3.0,-3.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.17,BACKTESTING.11,2018-03-29 00:00:00+08:00,2018-03-29,00:00:00,AP805.CZCE,AP805,CZCE,多,开,7336.0,3.0,3.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.18,BACKTESTING.11.stage847_c9.1,2018-03-29 09:09:00+08:00,2018-03-29,09:09:00,AP805.CZCE,AP805,CZCE,空,平,7294.5,3.0,-3.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.19,BACKTESTING.12,2018-04-19 00:00:00+08:00,2018-04-19,00:00:00,au1806.SHFE,au1806,SHFE,多,开,275.6,1.0,1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.20,BACKTESTING.12.stage847_c9.1,2018-04-19 22:46:00+08:00,2018-04-19,22:46:00,au1806.SHFE,au1806,SHFE,空,平,274.32500000000005,1.0,-1.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.21,BACKTESTING.13,2018-06-19 00:00:00+08:00,2018-06-19,00:00:00,FG809.CZCE,FG809,CZCE,多,开,1465.0,7.0,7.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.22,BACKTESTING.14,2018-06-25 00:00:00+08:00,2018-06-25,00:00:00,FG809.CZCE,FG809,CZCE,空,平,1457.0,7.0,-7.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.23,BACKTESTING.15,2018-07-09 00:00:00+08:00,2018-07-09,00:00:00,MA809.CZCE,MA809,CZCE,多,开,2904.0,9.0,9.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.24,BACKTESTING.15.stage847_c9.1,2018-07-09 09:13:00+08:00,2018-07-09,09:13:00,MA809.CZCE,MA809,CZCE,空,平,2886.5,9.0,-9.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.25,BACKTESTING.16,2018-07-12 00:00:00+08:00,2018-07-12,00:00:00,hc1810.SHFE,hc1810,SHFE,多,开,3959.0,4.0,4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.26,BACKTESTING.17,2018-07-27 00:00:00+08:00,2018-07-27,00:00:00,SM809.CZCE,SM809,CZCE,多,开,8150.0,7.0,7.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.27,BACKTESTING.17.stage847_c9.1,2018-07-27 10:05:00+08:00,2018-07-27,10:05:00,SM809.CZCE,SM809,CZCE,空,平,8107.0,7.0,-7.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.28,BACKTESTING.18,2018-07-31 00:00:00+08:00,2018-07-31,00:00:00,FG809.CZCE,FG809,CZCE,多,开,1491.0,9.0,9.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.29,BACKTESTING.18.stage847_c9.1,2018-07-31 10:53:00+08:00,2018-07-31,10:53:00,FG809.CZCE,FG809,CZCE,空,平,1486.0,9.0,-9.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.30,BACKTESTING.19,2018-08-03 00:00:00+08:00,2018-08-03,00:00:00,SM809.CZCE,SM809,CZCE,多,开,8260.0,7.0,7.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.31,BACKTESTING.20,2018-08-03 00:00:00+08:00,2018-08-03,00:00:00,hc1810.SHFE,hc1810,SHFE,空,平,4159.0,4.0,-4.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.32,BACKTESTING.21,2018-08-14 00:00:00+08:00,2018-08-14,00:00:00,hc1810.SHFE,hc1810,SHFE,多,开,4277.0,2.0,2.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.33,BACKTESTING.21.stage847_c9.1,2018-08-14 14:33:00+08:00,2018-08-14,14:33:00,hc1810.SHFE,hc1810,SHFE,空,平,4232.27,2.0,-2.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.34,BACKTESTING.22,2018-08-24 00:00:00+08:00,2018-08-24,00:00:00,SM809.CZCE,SM809,CZCE,空,平,8620.0,7.0,-7.0,BACKTESTING,rollover_close,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.35,BACKTESTING.23,2018-09-21 00:00:00+08:00,2018-09-21,00:00:00,AP901.CZCE,AP901,CZCE,多,开,12288.0,2.0,2.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.36,BACKTESTING.23.stage847_c9.1,2018-09-21 09:15:00+08:00,2018-09-21,09:15:00,AP901.CZCE,AP901,CZCE,空,平,12221.5,2.0,-2.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.37,BACKTESTING.23.stage847_c9.2,2018-09-21 11:04:00+08:00,2018-09-21,11:04:00,AP901.CZCE,AP901,CZCE,多,开,12288.0,2.0,2.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.38,BACKTESTING.23.stage847_c9.3,2018-09-21 11:17:00+08:00,2018-09-21,11:17:00,AP901.CZCE,AP901,CZCE,空,平,12221.5,2.0,-2.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.39,BACKTESTING.24,2018-10-15 00:00:00+08:00,2018-10-15,00:00:00,au1812.SHFE,au1812,SHFE,多,开,273.45,1.0,1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.40,BACKTESTING.25,2018-10-16 00:00:00+08:00,2018-10-16,00:00:00,OI901.CZCE,OI901,CZCE,多,开,6783.0,4.0,4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.41,BACKTESTING.26,2018-10-17 00:00:00+08:00,2018-10-17,00:00:00,OI901.CZCE,OI901,CZCE,空,平,6743.0,4.0,-4.0,BACKTESTING,long_base_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.42,BACKTESTING.27,2018-11-01 00:00:00+08:00,2018-11-01,00:00:00,au1812.SHFE,au1812,SHFE,空,平,274.8,1.0,-1.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.43,BACKTESTING.28,2018-11-01 00:00:00+08:00,2018-11-01,00:00:00,hc1901.SHFE,hc1901,SHFE,空,开,3804.0,7.0,-7.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.44,BACKTESTING.29,2018-11-06 00:00:00+08:00,2018-11-06,00:00:00,hc1901.SHFE,hc1901,SHFE,多,平,3770.0,7.0,7.0,BACKTESTING,short_base_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.45,BACKTESTING.30,2019-01-31 00:00:00+08:00,2019-01-31,00:00:00,CF905.CZCE,CF905,CZCE,多,开,15330.0,4.0,4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.46,BACKTESTING.30.stage847_c9.1,2019-01-31 09:00:00+08:00,2019-01-31,09:00:00,CF905.CZCE,CF905,CZCE,空,平,15290.0,4.0,-4.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.47,BACKTESTING.30.stage847_c9.2,2019-01-31 21:25:00+08:00,2019-01-31,21:25:00,CF905.CZCE,CF905,CZCE,多,开,15330.0,4.0,4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.48,BACKTESTING.30.stage847_c9.3,2019-01-31 23:11:00+08:00,2019-01-31,23:11:00,CF905.CZCE,CF905,CZCE,空,平,15290.0,4.0,-4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
