variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm,experiment_arm,requested_top_n,actual_ranked_count,actual_total_count
stage061_reference_stage037_top8_plus_fu,参考：Stage037 Top8+fu（9品种）,stage061_reference_stage037_top8_plus_fu,full_2018_20260828,2018-01-01 independent start to 2026-08-28,yearly_start,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,16859940.60000001,11139.960400000004,72.59911152311295,-39.91474607744346,16.301203175282364,1.5388212007263535,122871.30000000005,93.58070146346672,57.6021168434129,0,1,0,1659555.0,734.0,53.23101777059773,0,0.0,0,1,1,1,1,stage772_am40_80_120_oi_monthly,16859940.60000001,11139.960400000004,72.59911152311295,-39.91474607744346,1.5388212007263535,122871.30000000005,93.58070146346672,57.6021168434129,112.39960400000004,,,,,2018-01,2018-01,2018,1,1,1,1,1,0,0,stage061_reference_stage037_top8_plus_fu,REF,8,8,9
stage061_top10_plus_fu,Top10+fu（实际11品种）,stage061_top10_plus_fu,full_2018_20260828,2018-01-01 independent start to 2026-08-28,yearly_start,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,21870488.800000016,14480.325866666677,77.86888964300908,-39.91474607744346,17.030571618729674,1.5869759009775053,122871.30000000003,93.58070146346671,60.66570684958133,0,2,0,2163390.0,798.0,53.734756097560975,0,0.0,0,1,1,1,1,stage772_am40_80_120_oi_monthly,21870488.800000016,14480.325866666677,77.86888964300908,-39.91474607744346,1.5869759009775053,122871.30000000003,93.58070146346671,60.66570684958133,145.80325866666678,,,,,2018-01,2018-01,2018,1,1,1,1,1,0,0,stage061_top10_plus_fu,T10,10,10,11
stage061_top11_plus_fu,Top11+fu（实际12品种）,stage061_top11_plus_fu,full_2018_20260828,2018-01-01 independent start to 2026-08-28,yearly_start,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,20453023.000000022,13535.348666666681,76.49660014019994,-40.22141710541566,17.88073114249277,1.563372042487988,122871.30000000003,96.36583684973144,60.90211509392527,0,2,0,2141825.0,826.0,53.43915343915344,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,20453023.000000022,13535.348666666681,76.49660014019994,-40.22141710541566,1.563372042487988,122871.30000000003,96.36583684973144,60.90211509392527,136.3534866666668,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,0,stage061_top11_plus_fu,T11,11,11,12
stage061_top12_plus_fu,Top12+fu（实际13品种）,stage061_top12_plus_fu,full_2018_20260828,2018-01-01 independent start to 2026-08-28,yearly_start,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,19876234.400000017,13150.822933333344,75.91399038218934,-39.91474607744346,17.67776920225068,1.546243276583184,122871.30000000003,93.58070146346671,62.61233582996437,0,3,0,2310760.0,860.0,53.47274085138163,0,0.0,0,1,1,1,1,stage772_am40_80_120_oi_monthly,19876234.400000017,13150.822933333344,75.91399038218934,-39.91474607744346,1.546243276583184,122871.30000000003,93.58070146346671,62.61233582996437,132.50822933333345,,,,,2018-01,2018-01,2018,1,1,1,1,1,0,0,stage061_top12_plus_fu,T12,12,12,13
stage061_top13_plus_fu,Top13+fu（实际14品种）,stage061_top13_plus_fu,full_2018_20260828,2018-01-01 independent start to 2026-08-28,yearly_start,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,19217172.200000018,12711.448133333346,75.22968260424234,-41.119314891565914,16.40055470819077,1.5274127515941283,122871.30000000003,108.5902739886273,62.571777467677016,1,3,0,2334015.0,891.0,53.455882352941174,0,0.0,0,0,0,1,0,stage772_am40_80_120_oi_monthly,19217172.200000018,12711.448133333346,75.22968260424234,-41.119314891565914,1.5274127515941283,122871.30000000003,108.5902739886273,62.571777467677016,128.11448133333346,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,0,stage061_top13_plus_fu,T13,13,13,14
stage061_top14_plus_fu,Top14+fu（实际15品种）,stage061_top14_plus_fu,full_2018_20260828,2018-01-01 independent start to 2026-08-28,yearly_start,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,19095929.800000023,12630.619866666682,75.10154086126737,-44.73401343952019,18.750012998021603,1.5000597998926757,122871.30000000005,111.8002646128132,63.78335144617826,2,5,0,2577090.0,920.0,53.42857142857142,0,0.0,0,0,0,1,0,stage772_am40_80_120_oi_monthly,19095929.800000023,12630.619866666682,75.10154086126737,-44.73401343952019,1.5000597998926757,122871.30000000005,111.8002646128132,63.78335144617826,127.30619866666682,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,0,stage061_top14_plus_fu,T14,14,14,15
stage061_top15_plus_fu,Top15+fu（实际16品种）,stage061_top15_plus_fu,full_2018_20260828,2018-01-01 independent start to 2026-08-28,yearly_start,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,13390923.90000001,8827.282600000006,68.06402198883663,-55.24239581593973,21.94924641268905,1.3754805261100593,122871.30000000003,118.31306788012192,63.69113797211233,1,4,0,2013335.0,949.0,52.736318407960205,0,0.0,0,0,0,1,0,stage772_am40_80_120_oi_monthly,13390923.90000001,8827.282600000006,68.06402198883663,-55.24239581593973,1.3754805261100593,122871.30000000003,118.31306788012192,63.69113797211233,89.27282600000007,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,1,stage061_top15_plus_fu,T15,15,15,16
stage061_top16_plus_fu,Top16+fu（实际17品种）,stage061_top16_plus_fu,full_2018_20260828,2018-01-01 independent start to 2026-08-28,yearly_start,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,5326217.100000006,3450.811400000004,51.07593930911516,-62.741798263113125,26.92924404637119,1.1413630535634056,122871.30000000003,93.65072995573965,63.69113797211233,0,4,0,1424060.0,969.0,52.028985507246375,0,0.0,0,0,1,1,0,stage772_am40_80_120_oi_monthly,5326217.100000006,3450.811400000004,51.07593930911516,-62.741798263113125,1.1413630535634056,122871.30000000003,93.65072995573965,63.69113797211233,35.50811400000004,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,1,stage061_top16_plus_fu,T16,16,16,17
stage061_top17_plus_fu,Top17+fu（实际18品种）,stage061_top17_plus_fu,full_2018_20260828,2018-01-01 independent start to 2026-08-28,yearly_start,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,8343598.600000003,5462.39906666667,59.1207796588366,-62.22375430459359,24.66836965048186,1.2360833692925648,122871.30000000003,114.28346169354388,66.10916813625039,1,5,0,1850340.0,995.0,52.74803711634547,0,0.0,0,0,0,1,0,stage772_am40_80_120_oi_monthly,8343598.600000003,5462.39906666667,59.1207796588366,-62.22375430459359,1.2360833692925648,122871.30000000003,114.28346169354388,66.10916813625039,55.62399066666669,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,1,stage061_top17_plus_fu,T17,17,17,18
stage061_top18_plus_fu,Top18+fu（实际19品种）,stage061_top18_plus_fu,full_2018_20260828,2018-01-01 independent start to 2026-08-28,yearly_start,2018-01-02,2026-08-28,150000.0,150000.0,0.4,2101,5425082.9,3516.7219333333337,51.39744412980838,-54.36028081147434,25.506487282900498,1.113699697713747,122871.30000000003,117.43618716704698,67.11830673884951,4,13,0,1677020.0,1018.0,52.39774330042313,0,0.0,0,0,0,1,0,stage772_am40_80_120_oi_monthly,5425082.9,3516.7219333333337,51.39744412980838,-54.36028081147434,1.113699697713747,122871.30000000003,117.43618716704698,67.11830673884951,36.167219333333335,,,,,2018-01,2018-01,2018,1,1,1,1,1,1,1,stage061_top18_plus_fu,T18,18,18,19
