comparison,duration_years,start_cohort,window_count,return_win_count,return_win_rate_pct,median_return_delta_pct,left_positive_count,right_positive_count,left_worst_return_pct,right_worst_return_pct,dd_noninferior_2pp_count,dd_noninferior_2pp_rate_pct,left_dd50_fail_count,right_dd50_fail_count,sharpe_noninferior_005_count,sharpe_noninferior_005_rate_pct,left_slippage,right_slippage,slippage_ratio,left_trades,right_trades,all_right_survival,left_broker100_fail_count,right_broker100_fail_count
A_vs_B,1,combined,16,14,87.5,0.0,13,13,-13.753333333333329,-14.739999999999998,15,93.75,0,0,15,93.75,118800.0,124590.0,1.0487373737373737,1241,1294,1,0,0
A_vs_B,1,january,8,7,87.5,0.0,6,6,-13.753333333333329,-14.739999999999998,7,87.5,0,0,8,100.0,58710.0,62190.0,1.059274399591211,611,637,1,0,0
A_vs_B,1,june,8,7,87.5,1.0333333333333279,7,7,-0.6586666666666297,-0.6586666666666297,8,100.0,0,0,7,87.5,60090.0,62400.0,1.038442336495257,630,657,1,0,0
A_vs_B,2,combined,14,12,85.71428571428571,4.257700000000014,13,13,-16.71,-5.286666666666662,11,78.57142857142857,1,0,14,100.0,382560.0,399060.0,1.0431304893350062,2377,2471,1,0,0
A_vs_B,2,january,7,6,85.71428571428571,0.0,6,6,-16.71,-5.286666666666662,6,85.71428571428571,0,0,7,100.0,174870.0,182240.0,1.0421455938697317,1186,1231,1,0,0
A_vs_B,2,june,7,6,85.71428571428571,8.515400000000014,7,7,28.530000000000012,66.02333333333333,5,71.42857142857143,1,0,7,100.0,207690.0,216820.0,1.0439597477009004,1191,1240,1,0,0
A_vs_B,3,combined,12,9,75.0,11.05166666666669,12,12,45.75666666666669,90.80666666666666,10,83.33333333333334,1,0,10,83.33333333333334,846140.0,888170.0,1.0496726310066893,3202,3341,1,0,0
A_vs_B,3,january,6,4,66.66666666666666,0.0,6,6,45.75666666666669,90.80666666666666,5,83.33333333333334,0,0,4,66.66666666666666,385280.0,401960.0,1.0432931893687707,1590,1653,1,0,0
A_vs_B,3,june,6,5,83.33333333333334,24.768466666666725,6,6,95.29666666666668,164.80666666666673,5,83.33333333333334,1,0,6,100.0,460860.0,486210.0,1.0550058586121598,1612,1688,1,0,0
A_vs_C,1,combined,16,14,87.5,0.0,13,13,-13.753333333333329,-15.773333333333328,13,81.25,0,0,15,93.75,118800.0,133630.0,1.1248316498316497,1241,1344,1,0,0
A_vs_C,1,january,8,7,87.5,0.0,6,6,-13.753333333333329,-15.773333333333328,6,75.0,0,0,8,100.0,58710.0,66960.0,1.1405212059274399,611,654,1,0,0
A_vs_C,1,june,8,7,87.5,1.0333333333333279,7,7,-0.6586666666666297,-0.6586666666666297,7,87.5,0,0,7,87.5,60090.0,66670.0,1.109502413047096,630,690,1,0,0
A_vs_C,2,combined,14,13,92.85714285714286,13.291666666666684,13,13,-16.71,-8.279999999999998,10,71.42857142857143,1,0,14,100.0,382560.0,436960.0,1.1421999163529903,2377,2575,1,0,1
A_vs_C,2,january,7,7,100.0,8.430000000000003,6,6,-16.71,-8.279999999999998,5,71.42857142857143,0,0,7,100.0,174870.0,201470.0,1.1521129982272544,1186,1275,1,0,0
A_vs_C,2,june,7,6,85.71428571428571,34.76666666666665,7,7,28.530000000000012,63.29666666666667,5,71.42857142857143,1,0,7,100.0,207690.0,235490.0,1.1338533391111754,1191,1300,1,0,1
A_vs_C,3,combined,12,10,83.33333333333334,35.50499999999995,12,12,45.75666666666669,132.60999999999999,8,66.66666666666666,1,0,12,100.0,846140.0,970490.0,1.1469614957335665,3202,3465,1,0,1
A_vs_C,3,january,6,5,83.33333333333334,16.8483333333333,6,6,45.75666666666669,202.85000000000002,4,66.66666666666666,0,0,6,100.0,385280.0,439210.0,1.1399761212624584,1590,1718,1,0,0
A_vs_C,3,june,6,5,83.33333333333334,115.45499999999983,6,6,95.29666666666668,132.60999999999999,4,66.66666666666666,1,0,6,100.0,460860.0,531280.0,1.1528012845549624,1612,1747,1,0,1
