comparison,duration_years,start_cohort,window_count,return_win_count,return_win_rate_pct,median_return_delta_pct,left_positive_count,right_positive_count,left_worst_return_pct,right_worst_return_pct,dd_noninferior_2pp_count,dd_noninferior_2pp_rate_pct,left_dd50_fail_count,right_dd50_fail_count,sharpe_noninferior_005_count,sharpe_noninferior_005_rate_pct,left_slippage,right_slippage,slippage_ratio,left_trades,right_trades,all_right_survival,left_broker100_fail_count,right_broker100_fail_count
A_vs_B,0,random_all,192,151,78.64583333333334,0.0,174,176,-16.940000000000012,-15.76333333333334,163,84.89583333333334,3,0,169,88.02083333333334,6031095.0,6307995.0,1.0459120607451882,32113,33689,1,0,0
A_vs_B,1,random,64,49,76.5625,0.0,52,54,-16.940000000000012,-15.76333333333334,57,89.0625,0,0,53,82.8125,430880.0,446395.0,1.03600770516153,4766,4956,1,0,0
A_vs_B,2,random,64,52,81.25,0.0,58,58,-15.14333333333333,-8.773199999999992,50,78.125,1,0,60,93.75,1524435.0,1587075.0,1.0410906335789982,10648,11183,1,0,0
A_vs_B,3,random,64,50,78.125,20.326666666666597,64,64,32.70000000000002,25.41,56,87.5,2,0,56,87.5,4075780.0,4274525.0,1.0487624454705602,16699,17550,1,0,0
A_vs_C,0,random_all,192,162,84.375,9.973333333333334,174,175,-16.940000000000012,-17.269999999999996,140,72.91666666666666,3,0,178,92.70833333333334,6031095.0,6855030.0,1.136614495377705,32113,35010,1,0,1
A_vs_C,1,random,64,54,84.375,0.0,52,53,-16.940000000000012,-17.269999999999996,48,75.0,0,0,59,92.1875,430880.0,485640.0,1.127088748607501,4766,5160,1,0,0
A_vs_C,2,random,64,53,82.8125,4.871666666666669,58,58,-15.14333333333333,-14.37666666666667,44,68.75,1,0,58,90.625,1524435.0,1755085.0,1.1513019577745198,10648,11612,1,0,0
A_vs_C,3,random,64,55,85.9375,42.74333333333325,64,64,32.70000000000002,70.67000000000002,48,75.0,2,0,61,95.3125,4075780.0,4614305.0,1.1321280834588716,16699,18238,1,0,1
B_vs_C,0,random_all,192,146,76.04166666666666,0.0,176,175,-15.76333333333334,-17.269999999999996,164,85.41666666666666,0,0,169,88.02083333333334,6307995.0,6855030.0,1.086720899430009,33689,35010,1,0,1
B_vs_C,1,random,64,50,78.125,0.0,54,53,-15.76333333333334,-17.269999999999996,57,89.0625,0,0,57,89.0625,446395.0,485640.0,1.087915411238925,4956,5160,1,0,0
B_vs_C,2,random,64,50,78.125,0.0,58,58,-8.773199999999992,-14.37666666666667,52,81.25,0,0,55,85.9375,1587075.0,1755085.0,1.1058614117165226,11183,11612,1,0,0
B_vs_C,3,random,64,46,71.875,10.593333333333334,64,64,25.41,70.67000000000002,55,85.9375,0,0,57,89.0625,4274525.0,4614305.0,1.079489533924822,17550,18238,1,0,1
