random_seed,window_id,window_group,duration_years,draw_index,requested_start,requested_end,start_month_num,complete_window,terminal_near_complete
1246746679971163672,random_1y_001_20230112,random_1y,1,1,2023-01-12,2024-01-11,1,1,0
1246746679971163672,random_1y_002_20230825,random_1y,1,2,2023-08-25,2024-08-24,8,1,0
1246746679971163672,random_1y_003_20221227,random_1y,1,3,2022-12-27,2023-12-26,12,1,0
1246746679971163672,random_1y_004_20220427,random_1y,1,4,2022-04-27,2023-04-26,4,1,0
1246746679971163672,random_1y_005_20231010,random_1y,1,5,2023-10-10,2024-10-09,10,1,0
1246746679971163672,random_1y_006_20240805,random_1y,1,6,2024-08-05,2025-08-04,8,1,0
1246746679971163672,random_1y_007_20181206,random_1y,1,7,2018-12-06,2019-12-05,12,1,0
1246746679971163672,random_1y_008_20200618,random_1y,1,8,2020-06-18,2021-06-17,6,1,0
1246746679971163672,random_1y_009_20231017,random_1y,1,9,2023-10-17,2024-10-16,10,1,0
1246746679971163672,random_1y_010_20180706,random_1y,1,10,2018-07-06,2019-07-05,7,1,0
1246746679971163672,random_1y_011_20190722,random_1y,1,11,2019-07-22,2020-07-21,7,1,0
1246746679971163672,random_1y_012_20230111,random_1y,1,12,2023-01-11,2024-01-10,1,1,0
1246746679971163672,random_1y_013_20191024,random_1y,1,13,2019-10-24,2020-10-23,10,1,0
1246746679971163672,random_1y_014_20180718,random_1y,1,14,2018-07-18,2019-07-17,7,1,0
1246746679971163672,random_1y_015_20230921,random_1y,1,15,2023-09-21,2024-09-20,9,1,0
1246746679971163672,random_1y_016_20180608,random_1y,1,16,2018-06-08,2019-06-07,6,1,0
1246746679971163672,random_1y_017_20200407,random_1y,1,17,2020-04-07,2021-04-06,4,1,0
1246746679971163672,random_1y_018_20180824,random_1y,1,18,2018-08-24,2019-08-23,8,1,0
1246746679971163672,random_1y_019_20180403,random_1y,1,19,2018-04-03,2019-04-02,4,1,0
1246746679971163672,random_1y_020_20220422,random_1y,1,20,2022-04-22,2023-04-21,4,1,0
1246746679971163672,random_1y_021_20230829,random_1y,1,21,2023-08-29,2024-08-28,8,1,0
1246746679971163672,random_1y_022_20220328,random_1y,1,22,2022-03-28,2023-03-27,3,1,0
1246746679971163672,random_1y_023_20181102,random_1y,1,23,2018-11-02,2019-11-01,11,1,0
1246746679971163672,random_1y_024_20190312,random_1y,1,24,2019-03-12,2020-03-11,3,1,0
1246746679971163672,random_1y_025_20240703,random_1y,1,25,2024-07-03,2025-07-02,7,1,0
1246746679971163672,random_1y_026_20200810,random_1y,1,26,2020-08-10,2021-08-09,8,1,0
1246746679971163672,random_1y_027_20231123,random_1y,1,27,2023-11-23,2024-11-22,11,1,0
1246746679971163672,random_1y_028_20231109,random_1y,1,28,2023-11-09,2024-11-08,11,1,0
1246746679971163672,random_1y_029_20181207,random_1y,1,29,2018-12-07,2019-12-06,12,1,0
1246746679971163672,random_1y_030_20250825,random_1y,1,30,2025-08-25,2026-08-24,8,1,0
1246746679971163672,random_1y_031_20210826,random_1y,1,31,2021-08-26,2022-08-25,8,1,0
1246746679971163672,random_1y_032_20191011,random_1y,1,32,2019-10-11,2020-10-10,10,1,0
1246746679971163672,random_1y_033_20220211,random_1y,1,33,2022-02-11,2023-02-10,2,1,0
1246746679971163672,random_1y_034_20241219,random_1y,1,34,2024-12-19,2025-12-18,12,1,0
1246746679971163672,random_1y_035_20210805,random_1y,1,35,2021-08-05,2022-08-04,8,1,0
1246746679971163672,random_1y_036_20220817,random_1y,1,36,2022-08-17,2023-08-16,8,1,0
1246746679971163672,random_1y_037_20200114,random_1y,1,37,2020-01-14,2021-01-13,1,1,0
