winner_rank,open_trade_id,vt_symbol,entry_date,raw_1m_bars,aggregated_15m_bars,actual_trading_days,expected_trading_days,coverage_state,chart_path,daily_bar_count,daily_before_count,daily_holding_count,daily_after_count,daily_coverage_state,daily_source,minute_source_kinds,minute_source_file_count
1,BACKTESTING.336,rb2210.SHFE,2022-07-07,3795,253,11,11,complete,winner_0001_rb2210_SHFE_BACKTESTING_336.png,76,60,11,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache|primary,2
2,BACKTESTING.288,jm2205.DCE,2022-02-14,3675,245,11,11,complete,winner_0002_jm2205_DCE_BACKTESTING_288.png,76,60,11,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
3,BACKTESTING.335,hc2210.SHFE,2022-07-07,3795,253,11,11,complete,winner_0003_hc2210_SHFE_BACKTESTING_335.png,76,60,11,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,2
4,BACKTESTING.565,lc2509.GFEX,2025-07-11,2475,165,11,11,complete,winner_0004_lc2509_GFEX_BACKTESTING_565.png,75,60,10,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
5,BACKTESTING.462,SM409.CZCE,2024-04-24,2475,165,11,11,complete,winner_0005_SM409_CZCE_BACKTESTING_462.png,79,60,14,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache|primary,2
6,BACKTESTING.49,FG009.CZCE,2020-07-03,3675,245,11,11,complete,winner_0006_FG009_CZCE_BACKTESTING_49.png,94,60,29,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
7,BACKTESTING.12,au2006.SHFE,2020-02-17,2475,165,11,11,complete,winner_0007_au2006_SHFE_BACKTESTING_12.png,73,60,8,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
8,BACKTESTING.112,AP101.CZCE,2020-11-20,2475,165,11,11,complete,winner_0008_AP101_CZCE_BACKTESTING_112.png,84,60,19,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,2
9,BACKTESTING.168,FG109.CZCE,2021-04-14,3795,253,11,11,complete,winner_0009_FG109_CZCE_BACKTESTING_168.png,86,60,21,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
10,BACKTESTING.215,SM201.CZCE,2021-09-01,2475,165,11,11,complete,winner_0010_SM201_CZCE_BACKTESTING_215.png,82,60,17,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache|primary,2
11,BACKTESTING.97,ru2101.SHFE,2020-10-15,3675,245,11,11,complete,winner_0011_ru2101_SHFE_BACKTESTING_97.png,79,60,14,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
12,BACKTESTING.222,FG201.CZCE,2021-09-13,3675,245,11,11,complete,winner_0012_FG201_CZCE_BACKTESTING_222.png,72,60,7,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
13,BACKTESTING.27,sp2009.SHFE,2020-04-15,2475,165,11,11,complete,winner_0013_sp2009_SHFE_BACKTESTING_27.png,90,60,25,5,complete,vnpy_local_database_exact_contract_daily,local_contract_cache,1
